SoilRegionKey,areasymbol,lkey,areaname,mlraoffice,longitude,latitude,mbrminx,mbrminy,mbrmaxx,mbrmaxy,SoilLat,SoilLon,SolarLat,SolarLon,Year,solarKey
34.728:-85.971,AL071,14895,"Jackson County, Alabama","Morgantown, WV",-85.9711934,34.72781944,-86.35915368,34.46450295,-85.58323311,34.99113594,34.728,-85.971,34.73,-85.98,2017,34.730:-85.980
33.545:-86.929,AL073,12784,"Jefferson County, Alabama","Morgantown, WV",-86.92919012,33.54455686,-87.34161158,33.24603655,-86.51676866,33.84307717,33.545,-86.929,33.53,-86.94,2017,33.530:-86.940
33.792:-88.110,AL075,12785,"Lamar County, Alabama","Auburn, AL",-88.11021683,33.79151861,-88.27449788,33.52461841,-87.94593578,34.05841881,33.792,-88.11,33.81,-88.1,2017,33.810:-88.100
34.870:-87.707,AL077,14896,"Lauderdale County, Alabama","Morgantown, WV",-87.70687334,34.86989348,-88.20296701,34.73170797,-87.21077967,35.00807899,34.87,-87.707,34.85,-87.7,2017,34.850:-87.700
34.552:-87.318,AL079,12786,"Lawrence County, Alabama","Morgantown, WV",-87.31840248,34.55203053,-87.53146818,34.29913814,-87.10533678,34.80492292,34.552,-87.318,34.57,-87.3,2017,34.570:-87.300
32.578:-85.349,AL081,12787,"Lee County, Alabama","Raleigh, NC",-85.34892938,32.57815847,-85.69682961,32.40977683,-85.00102914,32.7465401,32.578,-85.349,32.57,-85.34,2017,32.570:-85.340
34.775:-87.032,AL083,14897,"Limestone County, Alabama","Morgantown, WV",-87.03234509,34.77494321,-87.28113033,34.55083269,-86.78355984,34.99905373,34.775,-87.032,34.77,-87.02,2017,34.770:-87.020
32.184:-86.652,AL085,12788,"Lowndes County, Alabama","Auburn, AL",-86.65239244,32.18444711,-86.90843277,31.9620646,-86.39635212,32.40682963,32.184,-86.652,32.17,-86.66,2017,32.170:-86.660
32.414:-85.729,AL087,12789,"Macon County, Alabama","Auburn, AL",-85.7285184,32.41394573,-86.02337927,32.23195997,-85.43365752,32.59593149,32.414,-85.729,32.41,-85.74,2017,32.410:-85.740
34.734:-86.523,AL089,14898,"Madison County, Alabama","Morgantown, WV",-86.52293479,34.73392193,-86.79009094,34.47575581,-86.25577865,34.99208805,34.734,-86.523,34.73,-86.54,2017,34.730:-86.540
32.269:-87.795,AL091,12790,"Marengo County, Alabama","Auburn, AL",-87.79522689,32.26869369,-88.1184583,31.9897914,-87.47199549,32.54759598,32.269,-87.795,32.25,-87.78,2017,32.250:-87.780
34.118:-87.921,AL093,12791,"Marion County, Alabama","Auburn, AL",-87.92076453,34.11787211,-88.20710158,33.91477093,-87.63442748,34.3209733,34.118,-87.921,34.13,-87.94,2017,34.130:-87.940
34.350:-86.320,AL095,12792,"Marshall County, Alabama","Morgantown, WV",-86.31976697,34.34961208,-86.5819288,34.09925001,-86.05760513,34.59997415,34.35,-86.32,34.37,-86.3,2017,34.370:-86.300
30.658:-88.178,AL097,12793,"Mobile County, Alabama","Auburn, AL",-88.17818612,30.65838919,-88.43199283,30.14341402,-87.9243794,31.17336436,30.658,-88.178,30.65,-88.18,2017,30.650:-88.180
31.529:-87.346,AL099,12794,"Monroe County, Alabama","Auburn, AL",-87.34552936,31.5293161,-87.78513098,31.22727354,-86.90592773,31.83135865,31.529,-87.346,31.53,-87.34,2017,31.530:-87.340
32.233:-86.215,AL101,12795,"Montgomery County, Alabama","Auburn, AL",-86.2151753,32.23339176,-86.49899762,31.96510087,-85.93135298,32.50168264,32.233,-86.215,32.25,-86.22,2017,32.250:-86.220
34.496:-86.830,AL103,12796,"Morgan County, Alabama","Morgantown, WV",-86.83010406,34.4955728,-87.11031763,34.30472487,-86.54989049,34.68642073,34.496,-86.83,34.49,-86.82,2017,34.490:-86.820
32.591:-87.272,AL105,12797,"Perry County, Alabama","Auburn, AL",-87.27164659,32.59131442,-87.52562487,32.30736102,-87.01766831,32.87526782,32.591,-87.272,32.61,-87.26,2017,32.610:-87.260
33.263:-88.089,AL107,12798,"Pickens County, Alabama","Auburn, AL",-88.08862103,33.2628123,-88.34062328,32.99148709,-87.83661878,33.53413752,33.263,-88.089,33.25,-88.1,2017,33.250:-88.100
31.839:-85.929,AL109,12799,"Pike County, Alabama","Auburn, AL",-85.92863555,31.83906724,-86.19946935,31.61643916,-85.65780175,32.06169531,31.839,-85.929,31.85,-85.94,2017,31.850:-85.940
33.304:-85.443,AL111,11126,"Randolph County, Alabama","Raleigh, NC",-85.44333389,33.30408499,-85.65441937,33.10671961,-85.2322484,33.50145037,33.304,-85.443,33.29,-85.46,2017,33.290:-85.460
32.286:-85.162,AL113,12800,"Russell County, Alabama","Auburn, AL",-85.16154402,32.28592329,-85.43475539,32.06175535,-84.88833264,32.51009124,32.286,-85.162,32.29,-85.18,2017,32.290:-85.180
33.690:-86.311,AL115,12801,"St. Clair County, Alabama","Morgantown, WV",-86.31065685,33.69021412,-86.57774889,33.39100599,-86.04356482,33.98942224,33.69,-86.311,33.69,-86.3,2017,33.690:-86.300
33.282:-86.684,AL117,12802,"Shelby County, Alabama","Morgantown, WV",-86.68387008,33.28243902,-87.02688692,33.01873103,-86.34085323,33.54614701,33.282,-86.684,33.29,-86.7,2017,33.290:-86.700
32.652:-88.131,AL119,12803,"Sumter County, Alabama","Auburn, AL",-88.13105875,32.65163461,-88.4216295,32.30735044,-87.840488,32.99591878,32.652,-88.131,32.65,-88.14,2017,32.650:-88.140
33.401:-86.149,AL121,14899,"Talladega County, Alabama","Morgantown, WV",-86.14909618,33.40125891,-86.50354954,33.10300455,-85.79464282,33.69951326,33.401,-86.149,33.41,-86.14,2017,33.410:-86.140
32.800:-85.804,AL123,11127,"Tallapoosa County, Alabama","Raleigh, NC",-85.80350832,32.80002619,-86.01390271,32.49283656,-85.59311392,33.10721582,32.8,-85.804,32.81,-85.82,2017,32.810:-85.820
33.307:-87.453,AL125,12804,"Tuscaloosa County, Alabama","Auburn, AL",-87.45322806,33.30663545,-87.84070614,33.0033797,-87.06574997,33.60989119,33.307,-87.453,33.29,-87.46,2017,33.290:-87.460
33.759:-87.295,AL127,12805,"Walker County, Alabama","Morgantown, WV",-87.29496905,33.75926531,-87.63619519,33.51313518,-86.95374292,34.00539544,33.759,-87.295,33.77,-87.3,2017,33.770:-87.300
31.407:-88.176,AL129,12806,"Washington County, Alabama","Auburn, AL",-88.17583227,31.40682206,-88.46427175,31.11431224,-87.88739279,31.69933188,31.407,-88.176,31.41,-88.18,2017,31.410:-88.180
32.048:-87.262,AL131,12807,"Wilcox County, Alabama","Auburn, AL",-87.26161393,32.04821799,-87.66791274,31.8272438,-86.85531511,32.26919217,32.048,-87.262,32.05,-87.26,2017,32.050:-87.260
34.146:-87.373,AL133,12808,"Winston County, Alabama","Morgantown, WV",-87.37327922,34.14588313,-87.63665253,33.98488542,-87.1099059,34.30688085,34.146,-87.373,34.13,-87.38,2017,34.130:-87.380
34.245:-91.382,AR001,15091,"Arkansas County, Arkansas","Temple, TX",-91.38192325,34.24467629,-91.71167623,33.92136433,-91.05217027,34.56798825,34.245,-91.382,34.25,-91.38,2017,34.250:-91.380
33.202:-91.801,AR003,15092,"Ashley County, Arkansas","Temple, TX",-91.80051818,33.20223057,-92.14365579,33.0061321,-91.45738056,33.39832905,33.202,-91.801,33.21,-91.82,2017,33.210:-91.820
36.236:-92.373,AR005,59976,"Baxter County, Arkansas","Morgantown, WV",-92.37266465,36.23637947,-92.5952266,35.97400656,-92.1501027,36.49875237,36.236,-92.373,36.25,-92.38,2017,36.250:-92.380
36.300:-94.216,AR007,15093,"Benton County, Arkansas","Morgantown, WV",-94.21637226,36.2995636,-94.61784997,36.09941552,-93.81489456,36.49971167,36.3,-94.216,36.29,-94.22,2017,36.290:-94.220
36.306:-93.078,AR009,15094,"Boone County, Arkansas","Morgantown, WV",-93.0781717,36.30632083,-93.3023072,36.11422832,-92.8540362,36.49841334,36.306,-93.078,36.29,-93.06,2017,36.290:-93.060
33.434:-92.171,AR011,15095,"Bradley County, Arkansas","Temple, TX",-92.17102818,33.43445371,-92.3825118,33.16119689,-91.95954456,33.70771052,33.434,-92.171,33.45,-92.18,2017,33.450:-92.180
36.310:-93.592,AR015,15096,"Carroll County, Arkansas","Morgantown, WV",-93.59163965,36.31045509,-93.89038893,36.12163248,-93.29289036,36.4992777,36.31,-93.592,36.33,-93.58,2017,36.330:-93.580
33.284:-91.252,AR017,15097,"Chicot County, Arkansas","Temple, TX",-91.25240112,33.28393057,-91.46045519,33.00427542,-91.04434705,33.56358571,33.284,-91.252,33.29,-91.26,2017,33.290:-91.260
36.350:-90.435,AR021,15098,"Clay County, Arkansas","Auburn, AL",-90.4347033,36.34956067,-90.80662599,36.20048137,-90.06278062,36.49863997,36.35,-90.435,36.37,-90.42,2017,36.370:-90.420
35.535:-92.021,AR023,84276,"Cleburne County, Arkansas","Morgantown, WV",-92.02125317,35.53523005,-92.25285012,35.35832211,-91.78965622,35.71213798,35.535,-92.021,35.53,-92.02,2017,35.530:-92.020
33.884:-92.214,AR025,15099,"Cleveland County, Arkansas","Temple, TX",-92.2144133,33.8842882,-92.47567236,33.70438108,-91.95315423,34.06419532,33.884,-92.214,33.89,-92.22,2017,33.890:-92.220
33.236:-93.235,AR027,15100,"Columbia County, Arkansas","Temple, TX",-93.23451144,33.23615648,-93.49043252,33.01737141,-92.97859037,33.45494156,33.236,-93.235,33.25,-93.22,2017,33.250:-93.220
35.267:-92.760,AR029,15101,"Conway County, Arkansas","Morgantown, WV",-92.76029313,35.26724931,-93.04127489,35.071475,-92.47931138,35.46302363,35.267,-92.76,35.25,-92.78,2017,35.250:-92.780
35.848:-90.662,AR031,15102,"Craighead County, Arkansas","Auburn, AL",-90.66192459,35.84831948,-91.03710575,35.70017148,-90.28674342,35.99646747,35.848,-90.662,35.85,-90.66,2017,35.850:-90.660
35.554:-94.193,AR033,15103,"Crawford County, Arkansas","Morgantown, WV",-94.19261826,35.55410625,-94.49315533,35.34347027,-93.8920812,35.76474223,35.554,-94.193,35.57,-94.18,2017,35.570:-94.180
35.137:-90.286,AR035,15104,"Crittenden County, Arkansas","Auburn, AL",-90.28603085,35.13740929,-90.50656961,34.83307477,-90.06549208,35.44174381,35.137,-90.286,35.13,-90.3,2017,35.130:-90.300
35.297:-90.772,AR037,15105,"Cross County, Arkansas","Auburn, AL",-90.77247159,35.29651056,-91.04255395,35.14325572,-90.50238923,35.44976539,35.297,-90.772,35.29,-90.78,2017,35.290:-90.780
33.818:-91.214,AR041,15106,"Desha County, Arkansas","Temple, TX",-91.21404317,33.81825851,-91.55769313,33.51731391,-90.87039321,34.11920312,33.818,-91.214,33.81,-91.22,2017,33.810:-91.220
33.591:-91.733,AR043,15107,"Drew County, Arkansas","Temple, TX",-91.73272249,33.59061575,-92.01518249,33.38895642,-91.4502625,33.79227509,33.591,-91.733,33.61,-91.74,2017,33.610:-91.740
35.105:-92.357,AR045,15108,"Faulkner County, Arkansas","Morgantown, WV",-92.3573418,35.10536994,-92.60304403,34.84230861,-92.11163956,35.36843127,35.105,-92.357,35.09,-92.34,2017,35.090:-92.340
35.487:-93.889,AR047,15109,"Franklin County, Arkansas","Morgantown, WV",-93.88903782,35.48692164,-94.08211114,35.19957828,-93.69596449,35.77426501,35.487,-93.889,35.49,-93.9,2017,35.490:-93.900
36.375:-91.805,AR049,59978,"Fulton County, Arkansas","Morgantown, WV",-91.80459106,36.37474545,-92.15917459,36.25009121,-91.45000753,36.4993997,36.375,-91.805,36.37,-91.82,2017,36.370:-91.820
34.581:-93.099,AR051,15110,"Garland County, Arkansas","Morgantown, WV",-93.09936058,34.58140954,-93.40729483,34.38928429,-92.79142634,34.77353478,34.581,-93.099,34.57,-93.1,2017,34.570:-93.100
34.278:-92.443,AR053,15111,"Grant County, Arkansas","Temple, TX",-92.44314086,34.27777723,-92.67843503,34.05976345,-92.20784669,34.495791,34.278,-92.443,34.29,-92.46,2017,34.290:-92.460
36.116:-90.526,AR055,15113,"Greene County, Arkansas","Auburn, AL",-90.52649622,36.11641626,-90.86027687,35.96486668,-90.19271558,36.26796583,36.116,-90.526,36.13,-90.54,2017,36.130:-90.540
33.743:-93.713,AR057,15114,"Hempstead County, Arkansas","Morgantown, WV",-93.71315297,33.74256003,-93.97016064,33.47619895,-93.4561453,34.0089211,33.743,-93.713,33.73,-93.7,2017,33.730:-93.700
34.052:-94.038,AR061,15115,"Howard County, Arkansas","Morgantown, WV",-94.03837781,34.05169848,-94.25609061,33.74765242,-93.82066501,34.35574454,34.052,-94.038,34.05,-94.02,2017,34.050:-94.020
35.735:-91.534,AR063,15116,"Independence County, Arkansas","Morgantown, WV",-91.53433784,35.73460605,-91.87111645,35.52633038,-91.19755923,35.94288172,35.735,-91.534,35.73,-91.54,2017,35.730:-91.540
36.064:-91.945,AR065,59980,"Izard County, Arkansas","Morgantown, WV",-91.9447081,36.0643003,-92.21527434,35.86737282,-91.67414185,36.26122778,36.064,-91.945,36.05,-91.94,2017,36.050:-91.940
35.622:-91.309,AR067,15117,"Jackson County, Arkansas","Auburn, AL",-91.30853684,35.62218284,-91.58444426,35.35428927,-91.03262942,35.89007642,35.622,-91.309,35.61,-91.3,2017,35.610:-91.300
35.548:-93.437,AR071,15118,"Johnson County, Arkansas","Morgantown, WV",-93.4372696,35.54767158,-93.71008529,35.32670918,-93.16445392,35.76863399,35.548,-93.437,35.53,-93.42,2017,35.530:-93.420
36.069:-91.053,AR075,15119,"Lawrence County, Arkansas","Auburn, AL",-91.05250868,36.06940669,-91.35745414,35.88094535,-90.74756321,36.25786804,36.069,-91.053,36.05,-91.06,2017,36.050:-91.060
34.770:-90.755,AR077,15120,"Lee County, Arkansas","Auburn, AL",-90.75523466,34.76974527,-91.10250867,34.62749663,-90.40796065,34.9119939,34.77,-90.755,34.77,-90.74,2017,34.770:-90.740
35.225:-93.710,AR083,15121,"Logan County, Arkansas","Morgantown, WV",-93.71048367,35.22510731,-94.14225433,35.0201445,-93.27871301,35.43007012,35.225,-93.71,35.21,-93.7,2017,35.210:-93.700
36.034:-93.704,AR087,15122,"Madison County, Arkansas","Morgantown, WV",-93.7044106,36.03355758,-93.96309682,35.75976751,-93.44572439,36.30734765,36.034,-93.704,36.05,-93.7,2017,36.050:-93.700
36.281:-92.649,AR089,59977,"Marion County, Arkansas","Morgantown, WV",-92.64889733,36.28058639,-92.89077717,36.0627233,-92.4070175,36.49844948,36.281,-92.649,36.29,-92.66,2017,36.290:-92.660
35.700:-89.966,AR093,15123,"Mississippi County, Arkansas","Auburn, AL",-89.96554587,35.69987239,-90.28909071,35.39885222,-89.64200103,36.00089256,35.7,-89.966,35.69,-89.98,2017,35.690:-89.980
34.670:-91.224,AR095,15124,"Monroe County, Arkansas","Auburn, AL",-91.22418393,34.67032995,-91.44797144,34.33641349,-91.00039642,35.0042464,34.67,-91.224,34.69,-91.22,2017,34.690:-91.220
34.543:-93.665,AR097,15125,"Montgomery County, Arkansas","Morgantown, WV",-93.66451683,34.54302467,-93.93502792,34.3393774,-93.39400575,34.74667193,34.543,-93.665,34.53,-93.66,2017,34.530:-93.660
33.701:-93.294,AR099,15126,"Nevada County, Arkansas","Temple, TX",-93.29402388,33.70067831,-93.48383322,33.44060079,-93.10421454,33.96075584,33.701,-93.294,33.69,-93.3,2017,33.690:-93.300
35.925:-93.232,AR101,15127,"Newton County, Arkansas","Morgantown, WV",-93.23229314,35.9248556,-93.52610148,35.7246211,-92.9384848,36.12509009,35.925,-93.232,35.93,-93.22,2017,35.930:-93.220
33.589:-92.843,AR103,15128,"Ouachita County, Arkansas","Temple, TX",-92.842575,33.58907888,-93.11896617,33.35558968,-92.56618383,33.82256808,33.589,-92.843,33.57,-92.86,2017,33.570:-92.860
34.944:-92.923,AR105,15129,"Perry County, Arkansas","Morgantown, WV",-92.92335538,34.94402477,-93.30596658,34.77194726,-92.54074418,35.11610228,34.944,-92.923,34.93,-92.94,2017,34.930:-92.940
34.382:-90.829,AR107,15130,"Phillips County, Arkansas","Auburn, AL",-90.82942187,34.38224139,-91.11792814,34.11885309,-90.5409156,34.64562969,34.382,-90.829,34.37,-90.82,2017,34.370:-90.820
34.146:-93.654,AR109,15131,"Pike County, Arkansas","Morgantown, WV",-93.6536697,34.14631336,-93.93714887,33.94253005,-93.37019053,34.35009666,34.146,-93.654,34.13,-93.66,2017,34.130:-93.660
35.573:-90.663,AR111,15132,"Poinsett County, Arkansas","Auburn, AL",-90.66275605,35.57343453,-91.03912978,35.43853309,-90.28638233,35.70833598,35.573,-90.663,35.57,-90.66,2017,35.570:-90.660
34.459:-94.200,AR113,15133,"Polk County, Arkansas","Morgantown, WV",-94.19990533,34.45941653,-94.47017597,34.1901576,-93.92963468,34.72867545,34.459,-94.2,34.45,-94.22,2017,34.450:-94.220
35.423:-93.054,AR115,15134,"Pope County, Arkansas","Morgantown, WV",-93.05434902,35.42317646,-93.29887334,35.11751612,-92.8098247,35.72883679,35.423,-93.054,35.41,-93.06,2017,35.410:-93.060
34.752:-92.393,AR119,15135,"Pulaski County, Arkansas","Temple, TX",-92.39253758,34.75205485,-92.75547598,34.48958293,-92.02959918,35.01452676,34.752,-92.393,34.77,-92.38,2017,34.770:-92.380
36.307:-91.078,AR121,15136,"Randolph County, Arkansas","Morgantown, WV",-91.07796037,36.30681067,-91.40719812,36.11496847,-90.74872262,36.49865288,36.307,-91.078,36.29,-91.06,2017,36.290:-91.060
35.008:-90.777,AR123,15137,"St. Francis County, Arkansas","Auburn, AL",-90.77656428,35.00813126,-91.15252955,34.86709505,-90.40059901,35.14916746,35.008,-90.777,35.01,-90.78,2017,35.010:-90.780
34.635:-92.660,AR125,15138,"Saline County, Arkansas","Morgantown, WV",-92.65952452,34.63509122,-93.07500048,34.41123819,-92.24404857,34.85894425,34.635,-92.66,34.65,-92.66,2017,34.650:-92.660
34.883:-94.080,AR127,15139,"Scott County, Arkansas","Morgantown, WV",-94.07952203,34.88287939,-94.45426673,34.66591512,-93.70477734,35.09984366,34.883,-94.08,34.89,-94.1,2017,34.890:-94.100
35.917:-92.681,AR129,15140,"Searcy County, Arkansas","Morgantown, WV",-92.68148113,35.91684806,-92.95137631,35.71837654,-92.41158595,36.11531958,35.917,-92.681,35.93,-92.7,2017,35.930:-92.700
35.191:-94.238,AR131,15141,"Sebastian County, Arkansas","Morgantown, WV",-94.23827414,35.19095304,-94.44744281,34.93083845,-94.02910548,35.45106762,35.191,-94.238,35.21,-94.22,2017,35.210:-94.220
