,areasymbol,lkey,areaname,mlraoffice,longitude,latitude,mbrminx,mbrminy,mbrmaxx,mbrmaxy,lat-rounded,lon-rounded,SoilLat,SoilLon,SolarLat,SolarLon,Year,SoilRegionKey,SolarRegionKey
14,AK644,10213,"Ketchikan Area, Alaska","Portland, OR",-132.19604903829398,55.51235270409976,-134.418436903372,54.618634980290786,-129.973661173216,56.40607042790871,55.512,-132.196,55.512,-132.196,55.53,-132.18,2017.0,55.512:-132.196,-132.196:55.530
15,AK645,10214,"Stikine Area, Alaska","Portland, OR",-132.828631236116,56.614154605167045,-134.659327555789,55.793402184093104,-130.997934916443,57.434907026241,56.614,-132.829,56.614,-132.829,56.61,-132.82,2017.0,56.614:-132.829,-132.829:56.610
16,AK646,10215,"Chatham Area, Alaska","Portland, OR",-134.5187199132335,57.86795327067824,-136.668555310517,56.128042842288195,-132.36888451595,59.6078636990683,57.868,-134.519,57.868,-134.519,57.85,-134.5,2017.0,57.868:-134.519,-134.519:57.850
17,AK649,10219,"Gulkana River Area, Alaska","Portland, OR",-146.1134365576965,62.7343313375712,-146.703336831776,62.5212830173161,-145.523536283617,62.947379657826296,62.734,-146.113,,,,,,,
18,AK650,10222,"Fort Wainwright Area, Alaska","Portland, OR",-147.410581026125,64.59012831039145,-148.652703737262,64.3328493550972,-146.16845831498802,64.8474072656857,64.59,-147.411,,,,,,,
19,AK651,10221,"Denali National Park and Preserve Area, Alaska","Portland, OR",-150.831209276382,63.1828474036473,-152.885039207545,62.2925215786329,-148.777379345219,64.0731732286617,63.183,-150.831,,,,,,,
20,AK652,10220,"Western Kenai Peninsula Area, Alaska","Portland, OR",-151.095436062322,60.31881235812085,-151.868609262263,59.598738399951294,-150.322262862381,61.038886316290395,60.319,-151.095,,,,,,,
21,AK653,10223,"Saint Paul Island Area, Alaska","Portland, OR",-170.2593893500665,57.178210588060296,-170.42165407585804,57.106764996711796,-170.097124624275,57.249656179408795,57.178,-170.259,,,,,,,
22,AK654,15608,"Western Interior Rivers Area, Alaska","Portland, OR",-158.50118364164297,61.9474016275521,-161.00002325616998,60.8947897352133,-156.00234402711598,63.0000135198909,61.947,-158.501,,,,,,,
23,AK655,16099,"Greater Nenana Area, Alaska","Portland, OR",-148.71072600276145,64.559981442441,-149.429486741333,64.1699920156843,-147.99196526419,64.9499708691977,64.56,-148.711,,,,,,,
24,AK656,18395,"Delta River Area, Alaska","Portland, OR",-145.9829053866795,63.208596317127544,-146.243296204372,62.9393467542836,-145.722514568987,63.477845879971504,63.209,-145.983,,,,,,,
25,AK657,18373,"Greater Delta Area, Alaska","Portland, OR",-146.0517138857135,64.1821953690506,-147.191883072446,63.76052251657829,-144.911544698981,64.60386822152289,64.182,-146.052,,,,,,,
26,AK658,18495,"Stewart River Training Site, Alaska","Portland, OR",-165.519592514657,64.787591011525,-165.654615916696,64.74428304895021,-165.384569112618,64.8308989740998,64.788,-165.52,,,,,,,
27,AK683,10245,"Fort Greely and Donnelly Training Area, Alaska","Portland, OR",-146.2344941515335,63.95993548988625,-147.050784924765,63.6743258968184,-145.418203378302,64.2455450829541,63.96,-146.234,,,,,,,
28,AK684,39527,"Yukon-Charley Rivers National Preserve, Alaska","Portland, OR",-142.5710870101785,65.0519892693936,-144.139826878906,64.4609961556848,-141.002347141451,65.64298238310239,65.052,-142.571,,,,,,,
29,AL001,12755,"Autauga County, Alabama","Auburn, AL",-86.66619151104817,32.507833351982995,-86.9212638140596,32.307564394643194,-86.41111920803671,32.708102309322804,32.508,-86.666,32.508,-86.666,32.49,-86.66,2017.0,32.508:-86.666,-86.666:32.490
30,AL003,12756,"Baldwin County, Alabama","Auburn, AL",-87.72207662552654,30.731618850937647,-88.06069481002459,30.1444315799583,-87.3834584410285,31.318806121917,30.732,-87.722,,,,,,,
31,AL005,12757,"Barbour County, Alabama","Auburn, AL",-85.3984997678617,31.8828920126369,-85.7482699935329,31.6176182761374,-85.0487295421905,32.1481657491364,31.883,-85.398,,,,,,,
32,AL007,12758,"Bibb County, Alabama","Auburn, AL",-87.14906022993095,33.03922686073845,-87.4226441339587,32.8316198822072,-86.87547632590321,33.2468338392697,33.039,-87.149,33.039,-87.149,33.05,-87.14,2017.0,33.039:-87.149,-87.149:33.050
33,AL009,12759,"Blount County, Alabama","Morgantown, WV",-86.63341305152474,34.0127403586134,-86.96342553429778,33.765153957642795,-86.3034005687517,34.260326759584,34.013,-86.633,,,,,,,
34,AL011,12760,"Bullock County, Alabama","Auburn, AL",-85.7046968942615,32.09283409120465,-85.9992418909733,31.8803197650794,-85.41015189754971,32.30534841732989,32.093,-85.705,32.093,-85.705,32.09,-85.7,2017.0,32.093:-85.705,-85.705:32.090
35,AL013,12761,"Butler County, Alabama","Auburn, AL",-86.67351047738089,31.744239126964107,-86.90895629340629,31.5237995695051,-86.4380646613555,31.964678684423102,31.744,-86.674,,,,,,,
36,AL015,14893,"Calhoun County, Alabama","Morgantown, WV",-85.8378792978445,33.762286957751755,-86.1463308362501,33.556134914823396,-85.5294277594389,33.96843900068011,33.762,-85.838,33.762,-85.838,33.77,-85.82,2017.0,33.762:-85.838,-85.838:33.770
37,AL017,11122,"Chambers County, Alabama","Raleigh, NC",-85.35811587413605,32.9189969380091,-85.5937274844236,32.7286577634206,-85.1225042638485,33.1093361125976,32.919,-85.358,,,,,,,
38,AL019,14894,"Cherokee County, Alabama","Morgantown, WV",-85.6213871672367,34.23395966777295,-85.8439068322855,33.9413647829645,-85.39886750218791,34.526554552581395,34.234,-85.621,,,,,,,
39,AL021,12762,"Chilton County, Alabama","Auburn, AL",-86.69516542555037,32.866192660768704,-87.0191066508132,32.660487710221,-86.3712242002875,33.0718976113164,32.866,-86.695,32.866,-86.695,32.85,-86.7,2017.0,32.866:-86.695,-86.695:32.850
40,AL023,12763,"Choctaw County, Alabama","Auburn, AL",-88.20069175301548,32.004086645795304,-88.4731037728196,31.6977564053896,-87.9282797332114,32.310416886201,32.004,-88.201,,,,,,,
41,AL025,12764,"Clarke County, Alabama","Auburn, AL",-87.8407931468536,31.588373316013552,-88.18084732557828,31.1854657593532,-87.50073896812891,31.991280872673894,31.588,-87.841,,,,,,,
42,AL027,11123,"Clay County, Alabama","Raleigh, NC",-85.90770926088209,33.29459305444814,-86.1742573047106,33.0902387599621,-85.6411612170536,33.498947348934195,33.295,-85.908,,,,,,,
43,AL029,11124,"Cleburne County, Alabama","Raleigh, NC",-85.59620671486265,33.71669652167345,-85.8878417256163,33.4692604854296,-85.304571704109,33.9641325579173,33.717,-85.596,33.717,-85.596,33.73,-85.58,2017.0,33.717:-85.596,-85.596:33.730
44,AL031,12765,"Coffee County, Alabama","Auburn, AL",-85.99267488312124,31.4006100555582,-86.1964121122861,31.1820614222718,-85.78893765395641,31.6191586888446,31.401,-85.993,31.401,-85.993,31.41,-85.98,2017.0,31.401:-85.993,-85.993:31.410
45,AL033,12766,"Colbert County, Alabama","Morgantown, WV",-87.77786295245504,34.7364119785602,-88.1399511454686,34.566175071622,-87.4157747594415,34.9066488854984,34.736,-87.778,,,,,,,
46,AL035,12767,"Conecuh County, Alabama","Auburn, AL",-87.0446366080736,31.46728188693965,-87.427415706193,31.181324968601107,-86.6618575099542,31.7532388052782,31.467,-87.045,31.467,-87.045,31.45,-87.06,2017.0,31.467:-87.045,-87.045:31.450
47,AL037,11125,"Coosa County, Alabama","Raleigh, NC",-86.260567876854,32.92920013741395,-86.52142796974621,32.7534898311299,-85.9997077839618,33.104910443698,32.929,-86.261,,,,,,,
48,AL039,12768,"Covington County, Alabama","Auburn, AL",-86.44470997499648,31.2611007707004,-86.7026073178076,30.9935553716422,-86.18681263218541,31.528646169758602,31.261,-86.445,31.261,-86.445,31.25,-86.46,2017.0,31.261:-86.445,-86.445:31.250
49,AL041,12769,"Crenshaw County, Alabama","Auburn, AL",-86.32371524957426,31.745791000149296,-86.5034203816886,31.439937113652896,-86.14401011745991,32.0516448866457,31.746,-86.324,31.746,-86.324,31.73,-86.34,2017.0,31.746:-86.324,-86.324:31.730
50,AL043,12770,"Cullman County, Alabama","Morgantown, WV",-86.80094162949024,34.085954439712985,-87.15085837154459,33.857986396276395,-86.4510248874359,34.3139224831496,34.086,-86.801,34.086,-86.801,34.09,-86.82,2017.0,34.086:-86.801,-86.801:34.090
51,AL045,12771,"Dale County, Alabama","Auburn, AL",-85.60332143018405,31.407997798360697,-85.79166226703559,31.195145422420698,-85.4149805933325,31.6208501743007,31.408,-85.603,31.408,-85.603,31.41,-85.62,2017.0,31.408:-85.603,-85.603:31.410
52,AL047,12772,"Dallas County, Alabama","Auburn, AL",-87.14003841878636,32.387984431551445,-87.47308624525829,32.0468965122425,-86.80699059231442,32.7290723508604,32.388,-87.14,,,,,,,
53,AL049,12773,"DeKalb County, Alabama","Morgantown, WV",-85.81588222063117,34.52996857630885,-86.118941542357,34.1994308939905,-85.5128228989053,34.8605062586272,34.53,-85.816,34.53,-85.816,34.53,-85.82,2017.0,34.530:-85.816,-85.816:34.530
54,AL051,12774,"Elmore County, Alabama","Auburn, AL",-86.1331869467081,32.5875478088868,-86.4133359027202,32.4059235669135,-85.853037990696,32.7691720508601,32.588,-86.133,32.588,-86.133,32.57,-86.14,2017.0,32.588:-86.133,-86.133:32.570
55,AL053,12775,"Escambia County, Alabama","Auburn, AL",-87.15218558585741,31.128296674375648,-87.6158734730105,30.9947603496108,-86.6884976987043,31.261832999140506,31.128,-87.152,31.128,-87.152,31.13,-87.14,2017.0,31.128:-87.152,-87.152:31.130
56,AL055,12776,"Etowah County, Alabama","Morgantown, WV",-86.05521542380329,34.021147594997956,-86.37351134865891,33.8414868174058,-85.7369194989477,34.2008083725901,34.021,-86.055,34.021,-86.055,34.01,-86.06,2017.0,34.021:-86.055,-86.055:34.010
57,AL057,12777,"Fayette County, Alabama","Auburn, AL",-87.68792320466714,33.719821799209804,-87.9521484657329,33.5196644997305,-87.4236979436014,33.919979098689105,33.72,-87.688,,,,,,,
58,AL059,12778,"Franklin County, Alabama","Auburn, AL",-87.85160267459179,34.4433214726524,-88.1735364234632,34.3045892161587,-87.5296689257204,34.582053729146104,34.443,-87.852,,,,,,,
59,AL061,12779,"Geneva County, Alabama","Auburn, AL",-85.83939545657734,31.096409926499252,-86.19341205042,30.992978209447,-85.4853788627347,31.1998416435515,31.096,-85.839,31.096,-85.839,31.09,-85.82,2017.0,31.096:-85.839,-85.839:31.090
60,AL063,12780,"Greene County, Alabama","Auburn, AL",-87.95677548098791,32.835709646523945,-88.2077638605203,32.517572497389104,-87.7057871014555,33.1538467956588,32.836,-87.957,,,,,,,
61,AL065,12781,"Hale County, Alabama","Auburn, AL",-87.64565479670887,32.7438655923944,-87.87046170428431,32.4807823070149,-87.42084788913341,33.0069488777739,32.744,-87.646,32.744,-87.646,32.73,-87.66,2017.0,32.744:-87.646,-87.646:32.730
62,AL067,12782,"Henry County, Alabama","Auburn, AL",-85.22970567933946,31.5412058627949,-85.4180168440674,31.3076399992344,-85.0413945146115,31.7747717263554,31.541,-85.23,31.541,-85.23,31.53,-85.22,2017.0,31.541:-85.230,-85.230:31.530
63,AL069,12886,"Houston County, Alabama","Auburn, AL",-85.35598385883263,31.156069322402896,-85.7125903801795,30.9971373274898,-84.9993773374858,31.315001317316,31.156,-85.356,,,,,,,
64,AL071,14895,"Jackson County, Alabama","Morgantown, WV",-85.9711933967116,34.7278194427805,-86.3591536848263,34.4645029499531,-85.5832331085969,34.9911359356079,34.728,-85.971,34.728,-85.971,34.73,-85.98,2017.0,34.728:-85.971,-85.971:34.730
65,AL073,12784,"Jefferson County, Alabama","Morgantown, WV",-86.9291901227129,33.54455686171025,-87.3416115821193,33.2460365548584,-86.51676866330652,33.843077168562104,33.545,-86.929,33.545,-86.929,33.53,-86.94,2017.0,33.545:-86.929,-86.929:33.530
66,AL075,12785,"Lamar County, Alabama","Auburn, AL",-88.11021683038861,33.791518612579594,-88.274497877154,33.524618414930394,-87.9459357836232,34.0584188102288,33.792,-88.11,33.792,-88.11,33.81,-88.1,2017.0,33.792:-88.110,-88.110:33.810
67,AL077,14896,"Lauderdale County, Alabama","Morgantown, WV",-87.70687334127459,34.86989347789955,-88.20296701205629,34.731707969362,-87.2107796704929,35.0080789864371,34.87,-87.707,,,,,,,
68,AL079,12786,"Lawrence County, Alabama","Morgantown, WV",-87.31840247908363,34.55203053276355,-87.5314681763161,34.299138141702,-87.1053367818512,34.8049229238251,34.552,-87.318,34.552,-87.318,34.57,-87.3,2017.0,34.552:-87.318,-87.318:34.570
69,AL081,12787,"Lee County, Alabama","Raleigh, NC",-85.34892937801041,32.578158465417204,-85.696829613523,32.409776833527104,-85.0010291424978,32.7465400973073,32.578,-85.349,,,,,,,
70,AL083,14897,"Limestone County, Alabama","Morgantown, WV",-87.03234508783551,34.77494321001465,-87.2811303346343,34.5508326932381,-86.7835598410367,34.9990537267912,34.775,-87.032,,,,,,,
71,AL085,12788,"Lowndes County, Alabama","Auburn, AL",-86.65239244346184,32.184447113375256,-86.90843277115108,31.962064595832402,-86.39635211577259,32.406829630918104,32.184,-86.652,32.184,-86.652,32.17,-86.66,2017.0,32.184:-86.652,-86.652:32.170
72,AL087,12789,"Macon County, Alabama","Auburn, AL",-85.7285183988152,32.41394572973455,-86.02337927359648,32.23195997332,-85.4336575240339,32.5959314861491,32.414,-85.729,32.414,-85.729,32.41,-85.74,2017.0,32.414:-85.729,-85.729:32.410
73,AL089,14898,"Madison County, Alabama","Morgantown, WV",-86.52293479464193,34.73392192912185,-86.7900909409986,34.475755811213105,-86.2557786482853,34.9920880470306,34.734,-86.523,34.734,-86.523,34.73,-86.54,2017.0,34.734:-86.523,-86.523:34.730
74,AL091,12790,"Marengo County, Alabama","Auburn, AL",-87.7952268948996,32.2686936874616,-88.11845829649491,31.989791395898,-87.47199549330429,32.547595979025196,32.269,-87.795,32.269,-87.795,32.25,-87.78,2017.0,32.269:-87.795,-87.795:32.250
75,AL093,12791,"Marion County, Alabama","Auburn, AL",-87.92076452966356,34.11787211307495,-88.20710158250941,33.91477092585,-87.6344274768177,34.3209733002999,34.118,-87.921,34.118,-87.921,34.13,-87.94,2017.0,34.118:-87.921,-87.921:34.130
76,AL095,12792,"Marshall County, Alabama","Morgantown, WV",-86.31976696896187,34.349612080507,-86.58192880458441,34.099250013951895,-86.0576051333393,34.5999741470621,34.35,-86.32,34.35,-86.32,34.37,-86.3,2017.0,34.350:-86.320,-86.320:34.370
77,AL097,12793,"Mobile County, Alabama","Auburn, AL",-88.17818611852415,30.65838918806625,-88.4319928343001,30.143414016528396,-87.9243794027482,31.1733643596041,30.658,-88.178,30.658,-88.178,30.65,-88.18,2017.0,30.658:-88.178,-88.178:30.650
78,AL099,12794,"Monroe County, Alabama","Auburn, AL",-87.34552935822121,31.529316098460804,-87.785130982796,31.2272735421138,-86.90592773364641,31.8313586548078,31.529,-87.346,31.529,-87.346,31.53,-87.34,2017.0,31.529:-87.346,-87.346:31.530
79,AL101,12795,"Montgomery County, Alabama","Auburn, AL",-86.2151753010738,32.23339175645295,-86.49899762205229,31.9651008747926,-85.9313529800953,32.5016826381133,32.233,-86.215,,,,,,,
80,AL103,12796,"Morgan County, Alabama","Morgantown, WV",-86.83010405782326,34.495572800093896,-87.11031762518992,34.3047248705371,-86.5498904904566,34.6864207296507,34.496,-86.83,34.496,-86.83,34.49,-86.82,2017.0,34.496:-86.830,-86.830:34.490
81,AL105,12797,"Perry County, Alabama","Auburn, AL",-87.2716465928685,32.591314420105704,-87.52562487394329,32.3073610240558,-87.01766831179371,32.8752678161556,32.591,-87.272,32.591,-87.272,32.61,-87.26,2017.0,32.591:-87.272,-87.272:32.610
82,AL107,12798,"Pickens County, Alabama","Auburn, AL",-88.08862102565618,33.262812302814694,-88.34062327630409,32.9914870890934,-87.83661877500829,33.534137516536,33.263,-88.089,,,,,,,
83,AL109,12799,"Pike County, Alabama","Auburn, AL",-85.92863554628664,31.839067235178145,-86.1994693458679,31.616439163865,-85.6578017467054,32.0616953064913,31.839,-85.929,,,,,,,
84,AL111,11126,"Randolph County, Alabama","Raleigh, NC",-85.4433338870863,33.3040849912231,-85.6544193732255,33.1067196103085,-85.2322484009471,33.5014503721377,33.304,-85.443,33.304,-85.443,33.29,-85.46,2017.0,33.304:-85.443,-85.443:33.290
85,AL113,12800,"Russell County, Alabama","Auburn, AL",-85.16154401636341,32.28592329384435,-85.4347553900147,32.0617553464656,-84.8883326427121,32.5100912412231,32.286,-85.162,32.286,-85.162,32.29,-85.18,2017.0,32.286:-85.162,-85.162:32.290
86,AL115,12801,"St. Clair County, Alabama","Morgantown, WV",-86.31065685057699,33.69021411634565,-86.5777488853121,33.3910059901117,-86.0435648158419,33.9894222425796,33.69,-86.311,33.69,-86.311,33.69,-86.3,2017.0,33.690:-86.311,-86.311:33.690
87,AL117,12802,"Shelby County, Alabama","Morgantown, WV",-86.68387007812929,33.282439019006546,-87.02688692423229,33.018731028492,-86.34085323202629,33.5461470095211,33.282,-86.684,33.282,-86.684,33.29,-86.7,2017.0,33.282:-86.684,-86.684:33.290
88,AL119,12803,"Sumter County, Alabama","Auburn, AL",-88.13105875173339,32.651634607090806,-88.4216295026767,32.3073504380693,-87.8404880007901,32.9959187761123,32.652,-88.131,32.652,-88.131,32.65,-88.14,2017.0,32.652:-88.131,-88.131:32.650
89,AL121,14899,"Talladega County, Alabama","Morgantown, WV",-86.14909617780205,33.401258905399196,-86.50354954007591,33.103004551834196,-85.7946428155282,33.6995132589642,33.401,-86.149,,,,,,,
90,AL123,11127,"Tallapoosa County, Alabama","Raleigh, NC",-85.80350831691425,32.80002618874105,-86.01390271054491,32.4928365558251,-85.5931139232836,33.107215821657,32.8,-85.804,32.8,-85.804,32.81,-85.82,2017.0,32.800:-85.804,-85.804:32.810
91,AL125,12804,"Tuscaloosa County, Alabama","Auburn, AL",-87.45322805598092,33.3066354479339,-87.8407061448643,33.0033797049158,-87.06574996709749,33.609891190952,33.307,-87.453,,,,,,,
92,AL127,12805,"Walker County, Alabama","Morgantown, WV",-87.2949690541706,33.75926530987715,-87.63619518610649,33.5131351814125,-86.95374292223471,34.0053954383418,33.759,-87.295,33.759,-87.295,33.77,-87.3,2017.0,33.759:-87.295,-87.295:33.770
93,AL129,12806,"Washington County, Alabama","Auburn, AL",-88.17583226970898,31.4068220624861,-88.4642717488448,31.114312243211998,-87.8873927905732,31.6993318817602,31.407,-88.176,,,,,,,
94,AL131,12807,"Wilcox County, Alabama","Auburn, AL",-87.26161392806631,32.048217986675446,-87.66791274116311,31.827243798514104,-86.8553151149695,32.2691921748368,32.048,-87.262,32.048,-87.262,32.05,-87.26,2017.0,32.048:-87.262,-87.262:32.050
95,AL133,12808,"Winston County, Alabama","Morgantown, WV",-87.37327921794054,34.14588313363436,-87.6366525311186,33.984885417684104,-87.1099059047625,34.3068808495846,34.146,-87.373,,,,,,,
96,AR001,15091,"Arkansas County, Arkansas","Temple, TX",-91.38192325379885,34.2446762890911,-91.71167623298359,33.9213643323458,-91.05217027461408,34.567988245836396,34.245,-91.382,34.245,-91.382,34.25,-91.38,2017.0,34.245:-91.382,-91.382:34.250
97,AR003,15092,"Ashley County, Arkansas","Temple, TX",-91.80051817551546,33.202230572857296,-92.1436557944815,33.0061320993894,-91.45738055654941,33.398329046325195,33.202,-91.801,33.202,-91.801,33.21,-91.82,2017.0,33.202:-91.801,-91.801:33.210
98,AR005,59976,"Baxter County, Arkansas","Morgantown, WV",-92.37266465408266,36.236379466399605,-92.5952266037372,35.9740065580321,-92.15010270442812,36.4987523747671,36.236,-92.373,,,,,,,
99,AR007,15093,"Benton County, Arkansas","Morgantown, WV",-94.21637226417108,36.299563596433146,-94.61784997276592,36.099415518068795,-93.81489455557622,36.4997116747975,36.3,-94.216,,,,,,,
100,AR009,15094,"Boone County, Arkansas","Morgantown, WV",-93.0781717005908,36.306320828711904,-93.3023071964669,36.11422831755621,-92.8540362047147,36.498413339867604,36.306,-93.078,,,,,,,
101,AR011,15095,"Bradley County, Arkansas","Temple, TX",-92.17102818027463,33.434453706183405,-92.3825117962323,33.1611968893369,-91.959544564317,33.7077105230299,33.434,-92.171,33.434,-92.171,33.45,-92.18,2017.0,33.434:-92.171,-92.171:33.450
102,AR015,15096,"Carroll County, Arkansas","Morgantown, WV",-93.59163964531021,36.310455092600456,-93.89038892599292,36.121632482125,-93.2928903646275,36.4992777030759,36.31,-93.592,,,,,,,
103,AR017,15097,"Chicot County, Arkansas","Temple, TX",-91.25240112030393,33.28393056529925,-91.4604551941643,33.004275422980896,-91.04434704644359,33.563585707617605,33.284,-91.252,,,,,,,
104,AR021,15098,"Clay County, Arkansas","Auburn, AL",-90.43470330407436,36.34956067123756,-90.80662598789542,36.2004813736945,-90.06278062025329,36.4986399687806,36.35,-90.435,36.35,-90.435,36.37,-90.42,2017.0,36.350:-90.435,-90.435:36.370
105,AR023,84276,"Cleburne County, Arkansas","Morgantown, WV",-92.02125316931654,35.5352300466906,-92.25285012129429,35.3583221088087,-91.78965621733879,35.7121379845725,35.535,-92.021,35.535,-92.021,35.53,-92.02,2017.0,35.535:-92.021,-92.021:35.530
106,AR025,15099,"Cleveland County, Arkansas","Temple, TX",-92.214413296306,33.884288197218396,-92.4756723587403,33.7043810755856,-91.95315423387173,34.0641953188512,33.884,-92.214,33.884,-92.214,33.89,-92.22,2017.0,33.884:-92.214,-92.214:33.890
107,AR027,15100,"Columbia County, Arkansas","Temple, TX",-93.234511443504,33.236156481981304,-93.49043252013969,33.0173714064777,-92.9785903668683,33.4549415574849,33.236,-93.235,33.236,-93.235,33.25,-93.22,2017.0,33.236:-93.235,-93.235:33.250
108,AR029,15101,"Conway County, Arkansas","Morgantown, WV",-92.76029313439889,35.267249313129895,-93.0412748935334,35.0714749987443,-92.47931137526442,35.463023627515504,35.267,-92.76,,,,,,,
109,AR031,15102,"Craighead County, Arkansas","Auburn, AL",-90.66192458826431,35.84831947653585,-91.03710575215342,35.7001714791746,-90.2867434243752,35.9964674738971,35.848,-90.662,35.848,-90.662,35.85,-90.66,2017.0,35.848:-90.662,-90.662:35.850
110,AR033,15103,"Crawford County, Arkansas","Morgantown, WV",-94.19261826331145,35.554106250125905,-94.49315532955008,35.343470267159205,-93.8920811970728,35.764742233092605,35.554,-94.193,35.554,-94.193,35.57,-94.18,2017.0,35.554:-94.193,-94.193:35.570
111,AR035,15104,"Crittenden County, Arkansas","Auburn, AL",-90.28603084504574,35.13740928807495,-90.5065696058064,34.8330747687652,-90.06549208428508,35.441743807384704,35.137,-90.286,35.137,-90.286,35.13,-90.3,2017.0,35.137:-90.286,-90.286:35.130
112,AR037,15105,"Cross County, Arkansas","Auburn, AL",-90.77247159164317,35.29651055737865,-91.04255395287831,35.143255721087606,-90.502389230408,35.44976539366971,35.297,-90.772,35.297,-90.772,35.29,-90.78,2017.0,35.297:-90.772,-90.772:35.290
113,AR041,15106,"Desha County, Arkansas","Temple, TX",-91.21404317037954,33.81825851420545,-91.5576931335627,33.5173139099437,-90.8703932071964,34.1192031184672,33.818,-91.214,,,,,,,
114,AR043,15107,"Drew County, Arkansas","Temple, TX",-91.73272249106705,33.59061575429175,-92.01518248584641,33.3889564204905,-91.4502624962877,33.792275088093,33.591,-91.733,,,,,,,
115,AR045,15108,"Faulkner County, Arkansas","Morgantown, WV",-92.35734179771305,35.1053699401726,-92.6030440340164,34.842308607305306,-92.1116395614097,35.368431273039896,35.105,-92.357,,,,,,,
116,AR047,15109,"Franklin County, Arkansas","Morgantown, WV",-93.88903781571275,35.48692164396721,-94.0821111438929,35.199578278276796,-93.69596448753259,35.774265009657604,35.487,-93.889,,,,,,,
117,AR049,59978,"Fulton County, Arkansas","Morgantown, WV",-91.80459106007841,36.3747454542838,-92.15917459151407,36.2500912130546,-91.45000752864271,36.499399695513,36.375,-91.805,36.375,-91.805,36.37,-91.82,2017.0,36.375:-91.805,-91.805:36.370
118,AR051,15110,"Garland County, Arkansas","Morgantown, WV",-93.09936058066036,34.58140953710545,-93.40729482573471,34.3892842893752,-92.791426335586,34.773534784835704,34.581,-93.099,,,,,,,
119,AR053,15111,"Grant County, Arkansas","Temple, TX",-92.44314086178235,34.2777772294847,-92.67843503234259,34.0597634546007,-92.2078466912221,34.4957910043687,34.278,-92.443,34.278,-92.443,34.29,-92.46,2017.0,34.278:-92.443,-92.443:34.290
120,AR055,15113,"Greene County, Arkansas","Auburn, AL",-90.52649622394554,36.1164162568052,-90.8602768727186,35.9648666810108,-90.1927155751725,36.2679658325996,36.116,-90.526,,,,,,,
