lkey|station_id|solar_region_key|areaname|weather_station
11125|720508-99999|-86.261:32.930|"Coosa County, Alabama"|MERKEL FLD SYLACAUGA MU
12768|999999-53843|-86.445:31.250|"Covington County, Alabama"|ANDALUSIA-OPP  MUNICIPA
12769|999999-73802|-86.324:31.730|"Crenshaw County, Alabama"|HIGHLAND HOME 2 S
12770|999999-63867|-86.801:34.090|"Cullman County, Alabama"|CULLMAN 3 ENE
12771|722238-99999|-85.603:31.410|"Dale County, Alabama"|HANCHEY AHP
12772|999999-63858|-87.140:32.370|"Dallas County, Alabama"|SELMA 13 WNW
12773|A00013-63847|-85.816:34.530|"DeKalb County, Alabama"|ISBELL FIELD AIRPORT
12774|749073-99999|-86.133:32.570|"Elmore County, Alabama"|GUNTER ANNEX
12775|999999-63899|-87.152:31.130|"Escambia County, Alabama"|BREWTON 3 NNE
12776|722285-3896|-86.055:34.010|"Etowah County, Alabama"|GADSDEN MUNICIPAL AIRPO
12777|720505-99999|-87.688:33.730|"Fayette County, Alabama"|WALKER CO BEVILL FLD
12778|999999-63895|-87.852:34.450|"Franklin County, Alabama"|RUSSELLVILLE 4 SSE
12779|999999-3850|-85.839:31.090|"Geneva County, Alabama"|CAIRNS FIELD FORT RUCKE
12780|999999-63892|-87.957:32.850|"Greene County, Alabama"|GAINESVILLE 2 NE
12781|999999-63893|-87.646:32.730|"Hale County, Alabama"|GREENSBORO 2 WNW
12782|722268-99999|-85.230:31.530|"Henry County, Alabama"|DOTHAN RGNL
12886|999999-93843|-85.356:31.170|"Houston County, Alabama"|DOTHAN MUNICIPAL AP
14895|999999-63896|-85.971:34.730|"Jackson County, Alabama"|SCOTTSBORO 2 NE
12784|999999-3883|-86.929:33.530|"Jefferson County, Alabama"|11 WEST OXMOOR RD
12785|723306-13825|-88.110:33.810|"Lamar County, Alabama"|COLUMBUS AFB AIRPORT
14896|999999-63894|-87.707:34.850|"Lauderdale County, Alabama"|MUSCLE SHOALS 2 N
12786|749080-99999|-87.318:34.570|"Lawrence County, Alabama"|COURTLAND
12787|722284-3892|-85.349:32.570|"Lee County, Alabama"|ABRN-OPLKA R G PITTS AR
14897|722279-53852|-87.032:34.770|"Limestone County, Alabama"|PRYOR FIELD REGIONAL AR
12788|999999-13895|-86.652:32.170|"Lowndes County, Alabama"|MONTGOMERY DANNELLY FIE
12789|749089-99999|-85.729:32.410|"Macon County, Alabama"|TUSKEGEE/SHARPE FLD
14898|720307-63804|-86.523:34.730|"Madison County, Alabama"|MADISON CO EXECUTIVE AR
12790|A51255-445|-87.795:32.250|"Marengo County, Alabama"|DEMOPOLIS MUNICIPAL AIR
12791|720413-99999|-87.921:34.130|"Marion County, Alabama"|HALEYVIILLE / POSEY FIE
12792|999999-63866|-86.320:34.370|"Marshall County, Alabama"|GUNTERSVILLE 2 SW
12793|999999-13894|-88.178:30.650|"Mobile County, Alabama"|MOBILE REGIONAL AP
12794|722276-99999|-87.346:31.530|"Monroe County, Alabama"|MIDDLETON FLD
12795|749073-99999|-86.215:32.250|"Montgomery County, Alabama"|GUNTER ANNEX
12796|723230-3856|-86.830:34.490|"Morgan County, Alabama"|HUNTSVILLE INTL/C.T.JON
12797|999999-63858|-87.272:32.610|"Perry County, Alabama"|SELMA 13 WNW
12798|999999-93806|-88.089:33.250|"Pickens County, Alabama"|TUSCALOOSA MUNICIPAL AP
12799|722267-3878|-85.929:31.850|"Pike County, Alabama"|TROY MUNICIPAL AIRPORT
11126|720674-99999|-85.443:33.290|"Randolph County, Alabama"|WEST GEORGIA RGNL O V G
12800|722250-99999|-85.162:32.290|"Russell County, Alabama"|FORT BENNING
12801|999999-73803|-86.311:33.690|"St. Clair County, Alabama"|TALLADEGA 10 NNE
12802|722300-99999|-86.684:33.290|"Shelby County, Alabama"|BIRMINGHAM
12803|999999-63892|-88.131:32.650|"Sumter County, Alabama"|GAINESVILLE 2 NE
14899|999999-73803|-86.149:33.410|"Talladega County, Alabama"|TALLADEGA 10 NNE
11127|720265-63833|-85.804:32.810|"Tallapoosa County, Alabama"|THOMAS C RUSSELL FLD AR
12804|999999-73801|-87.453:33.290|"Tuscaloosa County, Alabama"|NORTHPORT 2 S
12805|720505-156|-87.295:33.770|"Walker County, Alabama"|WALKER COUNTY AIRPORT B
12806|999999-23802|-88.176:31.410|"Washington County, Alabama"|THOMASVILLE 2 S
12807|999999-63897|-87.262:32.050|"Wilcox County, Alabama"|SELMA 6 SSE
12808|720413-99999|-87.373:34.130|"Winston County, Alabama"|HALEYVIILLE / POSEY FIE
15091|723416-99999|-91.382:34.250|"Arkansas County, Arkansas"|STUTTGART MUNI
15092|723424-99999|-91.801:33.210|"Ashley County, Arkansas"|MONTICELLO MUNI
59976|723447-99999|-92.373:36.250|"Baxter County, Arkansas"|FLIPPIN (AWOS)
15093|723444-99999|-94.216:36.290|"Benton County, Arkansas"|BENTONVILLE MUNI THA
15094|999999-13971|-93.078:36.290|"Boone County, Arkansas"|HARRISON FAA AP
15095|723424-53919|-92.171:33.450|"Bradley County, Arkansas"|MONTICELLO MUNI
15096|999999-13971|-93.592:36.330|"Carroll County, Arkansas"|HARRISON FAA AP
15097|747680-13939|-91.252:33.290|"Chicot County, Arkansas"|MID DELTA REGIONAL AIRP
15098|720654-99999|-90.435:36.370|"Clay County, Arkansas"|CORNING MUNI
84276|999999-23904|-92.021:35.530|"Cleburne County, Arkansas"|BATESVILLE 8 WNW
15099|723417-99999|-92.214:33.890|"Cleveland County, Arkansas"|GRIDER FLD
15100|723419-93992|-93.235:33.250|"Columbia County, Arkansas"|S. AR RGNL AT GDWIN FLD
15101|723429-53920|-92.760:35.250|"Conway County, Arkansas"|MUNICIPAL AIRPORT
15102|723407-3953|-90.662:35.850|"Craighead County, Arkansas"|JONESBORO MUNICIPAL ARP
15103|723440-13964|-94.193:35.570|"Crawford County, Arkansas"|FORT SMITH REGIONAL AIR
15104|722054-53959|-90.286:35.130|"Crittenden County, Arkansas"|WEST MEMPHIS MUNICIPAL
15105|749095-99999|-90.772:35.290|"Cross County, Arkansas"|NEWPORT ARKANSAS AAF
15106|725023-474|-91.214:33.810|"Desha County, Arkansas"|CLEVELAND MUNICIPAL AIR
15107|723424-99999|-91.733:33.610|"Drew County, Arkansas"|MONTICELLO MUNI
15108|723405-99999|-92.357:35.090|"Faulkner County, Arkansas"|LITTLE ROCK AFB
15109|690500-99999|-93.889:35.490|"Franklin County, Arkansas"|FORT CHAFFEE
59978|723480-99999|-91.805:36.370|"Fulton County, Arkansas"|WEST PLAINS  MO
15110|723415-99999|-93.099:34.570|"Garland County, Arkansas"|MEMORIAL FLD
15111|723417-93988|-92.443:34.290|"Grant County, Arkansas"|GRIDER FIELD AIRPORT
15113|723407-99999|-90.526:36.130|"Greene County, Arkansas"|JONESBORO MUNI
15114|749100-99999|-93.713:33.730|"Hempstead County, Arkansas"|HOPE ARKANSAS AAF
15115|743312-99999|-94.038:34.050|"Howard County, Arkansas"|J L HELMS SEVIER CO
15116|723448-99999|-91.534:35.730|"Independence County, Arkansas"|BATESVILLE RGNL
59980|999999-23904|-91.945:36.050|"Izard County, Arkansas"|BATESVILLE 8 WNW
15117|999999-93907|-91.309:35.610|"Jackson County, Arkansas"|NEWPORT MCAF
15118|723429-99999|-93.437:35.530|"Johnson County, Arkansas"|RUSSELLVILLE RGNL
15119|723406-99999|-91.053:36.050|"Lawrence County, Arkansas"|WALNUT RIDGE RGNL
15120|722364-23903|-90.755:34.770|"Lee County, Arkansas"|TUNICA MUNICIPAL AIRPOR
15121|690500-99999|-93.710:35.210|"Logan County, Arkansas"|FORT CHAFFEE
15122|723434-3973|-93.704:36.050|"Madison County, Arkansas"|SPRINGDALE MUNICIPAL AR
59977|723447-3918|-92.649:36.290|"Marion County, Arkansas"|MARION COUNTY RGNL AIRP
15123|723409-99999|-89.966:35.690|"Mississippi County, Arkansas"|BLYTHEVILLE MUNI
15124|723416-99999|-91.224:34.690|"Monroe County, Arkansas"|STUTTGART MUNI
15125|723435-99999|-93.665:34.530|"Montgomery County, Arkansas"|MOUNT IDA
15126|749100-99999|-93.294:33.690|"Nevada County, Arkansas"|HOPE ARKANSAS AAF
15127|723446-13971|-93.232:35.930|"Newton County, Arkansas"|BOONE CO
15128|723425-373|-92.843:33.570|"Ouachita County, Arkansas"|HARRELL FIELD AIRPORT
15129|723429-53920|-92.923:34.930|"Perry County, Arkansas"|MUNICIPAL AIRPORT
15130|720927-99999|-90.829:34.370|"Phillips County, Arkansas"|FLETCHER FLD
15131|999999-53921|-93.654:34.130|"Pike County, Arkansas"|MOUNT IDA
15132|723407-3953|-90.663:35.570|"Poinsett County, Arkansas"|JONESBORO MUNICIPAL ARP
15133|720172-99999|-94.200:34.450|"Polk County, Arkansas"|MENA INTERMOUNTAIN
15134|723429-99999|-93.054:35.410|"Pope County, Arkansas"|RUSSELLVILLE RGNL
15135|723401-13963|-92.393:34.770|"Pulaski County, Arkansas"|LITTLE ROCK ADAMS FIELD
15136|723406-99999|-91.078:36.290|"Randolph County, Arkansas"|WALNUT RIDGE RGNL
15137|722054-99999|-90.777:35.010|"St. Francis County, Arkansas"|WEST MEMPHIS MUNI
15138|999999-13963|-92.660:34.650|"Saline County, Arkansas"|LITTLE ROCK ADAMS FIELD
15139|690500-99999|-94.080:34.890|"Scott County, Arkansas"|FORT CHAFFEE
15140|720401-99999|-92.681:35.930|"Searcy County, Arkansas"|CLINTON MUNI
15141|690500-99999|-94.238:35.210|"Sebastian County, Arkansas"|FORT CHAFFEE
15142|743312-99999|-94.218:33.970|"Sevier County, Arkansas"|J L HELMS SEVIER CO
15143|999999-23904|-91.485:36.210|"Sharp County, Arkansas"|BATESVILLE 8 WNW
15144|999999-23904|-92.127:35.930|"Stone County, Arkansas"|BATESVILLE 8 WNW
15145|723419-93992|-92.529:33.210|"Union County, Arkansas"|S. AR RGNL AT GDWIN FLD
84278|720401-99999|-92.546:35.570|"Van Buren County, Arkansas"|CLINTON MUNI
15146|723445-99999|-94.220:36.010|"Washington County, Arkansas"|DRAKE FLD
15147|722188-53985|-91.733:35.290|"White County, Arkansas"|SEARCY MUNICIPAL AIRPOR
16403|722188-53985|-91.259:35.170|"Woodruff County, Arkansas"|SEARCY MUNICIPAL AIRPOR
15150|723429-53920|-93.303:35.050|"Yell County, Arkansas"|MUNICIPAL AIRPORT
15152|723425-99999|-92.636:33.730|"Calhoun and Dallas Counties, Arkansas"|HARRELL FLD
15153|999999-100|-93.085:34.130|"Clark and Hot Spring Counties, Arkansas"|DEXTER B FLORENCE MEM F
15156|723417-99999|-91.828:34.130|"Jefferson and Lincoln Counties, Arkansas"|GRIDER FLD
15157|723418-13977|-93.928:33.490|"Lafayette, Little River, and Miller Counties, Arkansas"|TEXARKANA REGIONAL AIRP
15158|749096-99999|-91.733:34.770|"Lonoke and Prairie Counties, Arkansas"|STUTTGART ARKANSAS AAF
10250|720922-99999|-113.608:36.530|"Shivwits Area, Arizona, Part of Mohave County"|ST GEORGE MUNI
10251|999999-53129|-112.929:36.650|"Mohave County Area, Arizona, Northeastern Part, and Part of Coconino County"|COLORADO CITY MUNI AIRP
14188|999999-53172|-113.990:34.690|"Mohave County, Arizona, Southern Part"|LAKE HAVASU CITY 19 SE
10252|999999-53164|-112.030:36.770|"Coconino County Area, Arizona, North Kaibab Part"|PAGE 9 WSW
10253|720635-99999|-112.026:35.410|"Coconino County Area, Arizona, Central Part"|H A CLARK MEM FLD
10254|999999-3077|-110.297:34.730|"Navajo County Area, Arizona, Central Part"|HOLBROOK 17 ESE
19497|723754-99999|-109.455:34.530|"Apache County, Arizona, Central Part"|ST JOHNS INDUSTRIAL
10256|999999-23184|-112.660:34.690|"Yavapai County, Arizona, Western Part"|PRESCOTT MUNICIPAL AP
10257|723723-23184|-112.136:34.690|"Black Hills-Sedona Area, Arizona, Parts of Coconino and Yavapai Counties"|ERNEST A. LOVE FIELD AR
10258|723756-375|-111.665:34.770|"Beaver Creek Area, Arizona"|SEDONA AIRPORT
10259|723757-99999|-111.415:34.610|"Long Valley Area, Arizona"|FLAGSTAFF NEXRAD
10260|722785-23111|-112.380:33.690|"Aguila-Carefree Area, Arizona, Parts of Maricopa and Pinal Counties"|LUKE AFB AIRPORT
17978|999999-53168|-112.847:32.010|"Organ Pipe Cactus National Monument, Arizona"|AJO 29 S
10261|697564-99999|-113.435:32.570|"Luke Air Force Range, Arizona, Parts of Maricopa, Pima and Yuma Counties"|STOVAL AIRFIELD / EXERC
10262|697564-99999|-113.446:32.250|"Cabeza Prieta Area, Arizona, Parts of Pima and Yuma Counties"|STOVAL AIRFIELD / EXERC
10263|999999-53154|-114.075:33.010|"Yuma-Wellton Area, Parts of Yuma County, Arizona and Imperial County, California"|YUMA 27 ENE
10264|720644-99999|-112.691:33.410|"Maricopa County, Arizona, Central Part"|BUCKEYE MUNI
10265|747240-3148|-112.768:32.730|"Gila Bend-Ajo Area, Arizona, Parts of Maricopa and Pima Counties"|GILA BEND AF AUX AIRPOR
10266|722786-23104|-111.727:33.330|"Eastern Maricopa and Northern Pinal Counties Area, Arizona"|WILLIAMS GATEWAY AIRPOR
10267|999999-53172|-114.381:33.970|"Colorado River Indian Reservation, Parts of La Paz County, Arizona, and Riverside and San Bernardino Counties, California"|LAKE HAVASU CITY 19 SE
10268|747188-23158|-113.961:33.490|"Kofa Area, Arizona, Parts of La Paz and Yuma Counties"|BLYTHE AIRPORT
10269|722749-99999|-111.911:33.170|"Gila River Indian Reservation, Arizona, Parts of Maricopa and Pinal Counties"|CHANDLER MUNI
10270|722748-99999|-111.732:32.810|"Pinal County, Arizona, Western Part"|CASA GRANDE MUNI
10271|749173-99999|-111.016:32.930|"Eastern Pinal and Southern Gila Counties, Arizona"|COOLIDGE MUNI
10272|722747-93084|-109.779:32.890|"Safford Area, Arizona"|SAFFORD REGIONAL AIRPOR
10273|722747-93084|-109.640:32.850|"Gila-Duncan Area, Parts of Graham and Greenlee Counties, Arizona"|SAFFORD REGIONAL AIRPOR
10274|999999-3085|-109.462:32.370|"San Simon Area Parts of Cochise Graham and Greenlee Counties, Arizona"|BOWIE 23 SSE
10275|999999-3085|-109.803:32.210|"Willcox Area, Arizona Parts of Cochise and Graham Counties"|BOWIE 23 SSE
10276|722743-99999|-110.198:32.170|"Cochise County, Arizona, Northwestern Part"|TUCSON NEXRAD
10277|722728-3196|-110.838:31.610|"Santa Cruz and Parts of Cochise and Pima Counties, Arizona"|NOGALES INTERNATIONAL A
10278|720339-99999|-111.150:32.130|"Tucson-Avra Valley Area, Arizona"|RYAN FLD
10279|720339-99999|-111.129:31.970|"Pima County, Arizona, Eastern Part"|RYAN FLD
10280|722720-99999|-109.755:31.610|"Cochise County, Arizona, Douglas-Tombstone Part"|BISBEE DOUGLAS INTL
10281|722747-93084|-110.147:32.730|"Graham County, Arizona, Southwestern Part"|SAFFORD REGIONAL AIRPOR
10282|722747-93084|-110.124:33.330|"San Carlos Indian Reservation, Arizona, Parts of Gila and Graham Counties"|SAFFORD REGIONAL AIRPOR
10283|723746-99999|-110.139:33.890|"Fort Apache Indian Reservation, Arizona, Parts of Apache, Gila, and Navajo Counties"|SHOW LOW MUNICIPAL
10284|999999-93139|-111.296:33.810|"Tonto National Forest, Arizona, Parts of Gila, Maricopa, Pinal and Yavapai Counties"|PAYSON
10285|723746-99999|-110.071:33.850|"Apache-Sitgreaves National Forests, Arizona, Parts of Apache, Coconino, Greenlee, and Navajo Counties"|SHOW LOW MUNICIPAL
10286|999999-3103|-111.600:35.210|"Oak Creek-San Francisco Peaks Area, Arizona, Part of Coconino County"|FLAGSTAFF PULLIAM ARPT
10287|723783-3195|-112.182:35.930|"Kaibab National Forests, Arizona, Parts of Coconino, Mohave and Yavapai Counties"|GRAND CANYON NATL PARK
10288|723700-99999|-114.045:35.690|"Mohave County, Arizona, Central Part"|KINGMAN
10289|999999-53155|-113.155:35.930|"Hualapai-Havasupai Area, Arizona, Parts of Coconino, Mohave, and Yavapai Counties"|WILLIAMS 35 NNW
10290|723783-3195|-112.825:36.290|"Grand Canyon Area, Arizona, Parts of Coconino and Mohave Counties"|GRAND CANYON NATL PARK
10291|999999-53006|-111.973:32.130|"Tohono O'Odham Nation, Arizona, Parts of Maricopa, Pima and Pinal Counties"|AMADO 23 W
10292|999999-53159|-111.158:36.010|"Little Colorado River Area, Arizona, Parts of Coconino and Navajo Counties"|CAMERON 25 SSE
10293|999999-53169|-110.641:36.610|"Navajo Mountain Area, Arizona, Parts of Apache, Coconino and Navajo Counties"|KAYENTA 16 WSW
28675|999999-53011|-109.340:36.130|"Canyon de Chelly National Monument, Arizona"|TSAILE 1 SSW
10294|999999-53011|-109.802:36.250|"Chinle Area, Parts of Apache and Navajo Counties, Arizona, and San Juan County, New Mexico"|TSAILE 1 SSW
10295|999999-53169|-110.501:35.970|"Hopi Area, Arizona, Parts of Coconino and Navajo Counties"|KAYENTA 16 WSW
10296|722764-99999|-109.508:35.690|"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"|WINDOW ROCK
10298|999999-3085|-110.005:32.210|"Coronado National Forest, Arizona, Parts of Cochise, Graham, Pima and Pinal Counties"|BOWIE 23 SSE
14076|999999-23238|-122.290:39.170|"Colusa County, California"|WILLIAMS CAA AIRPORT
14077|724950-23250|-121.988:37.930|"Contra Costa County, California"|CONCORD/BUCHANAN
14078|724973-99999|-122.397:39.610|"Glenn County, California"|CHICO MUNI
14079|747020-23110|-119.895:36.130|"Kings County, California"|NAVAL AIR STATION
14080|725905-99999|-122.717:39.130|"Lake County, California"|UKIAH MUNI
14081|720406-99999|-122.688:38.050|"Marin County, California"|GNOSS FIELD AIRPORT
14082|690020-93218|-121.096:36.370|"Monterey County, California"|JOLON HUNTER LIGGETT MI
14083|724955-99999|-122.354:38.490|"Napa County, California"|NAPA CO
14084|724830-23232|-121.443:38.370|"Sacramento County, California"|SACRAMENTO EXECUTIVE AI
14085|749179-392|-121.120:36.610|"San Benito County, California"|HOLLISTER MUNICIPAL AIR
14086|999999-23237|-121.251:37.890|"San Joaquin County, California"|STOCKTON METROPOLITAN A
14087|745095-99999|-121.951:37.050|"Santa Cruz County, California"|SANTA CRUZ HARBOR
14088|745160-99999|-122.000:38.290|"Solano County, California"|FAIRFIELD/TRAVIS AF
14089|724953-99999|-122.941:38.450|"Sonoma County, California"|RIO NIDO
14090|724838-99999|-121.681:39.010|"Sutter County, California"|YUBA CO
14091|720576-174|-121.962:38.610|"Yolo County, California"|UNIVERSITY AIRPORT
14198|749485-396|-123.980:40.650|"Humboldt County, Central Part, California"|ROHNERVILLE AIRPORT
14199|725848-99999|-123.973:40.250|"Humboldt County, South Part, California"|SHELTER COVE
14092|725959-99999|-122.589:41.650|"Siskiyou County, California, Central Part"|MONTAGUE
14237|725958-94299|-120.611:41.610|"Modoc County, California, Alturas Area"|ALTURAS MUNICIPAL AIRPO
14238|725956-24212|-121.479:41.170|"Intermountain Area, Parts of Lassen, Modoc, Shasta, and Siskiyou Counties, California"|BURNEY
14093|725948-99999|-123.896:41.330|"Humboldt and Del Norte Area, California"|TRINIDAD HEAD COAST GUA
14094|720193-117|-122.966:40.650|"Trinity County, California, Weaverville Area"|LONNIE POOL FIELD WEAVE
14095|725920-24257|-122.283:40.690|"Shasta County Area, California"|REDDING MUNICIPAL AIRPO
14239|725841-99999|-120.661:40.530|"Susanville Area, Parts of Lassen and Plumas Counties, California"|SUSANVILLE MUNI
14096|724927-23285|-121.824:37.650|"Alameda Area, California"|LIVERMORE MUNICIPAL ARP
14097|724935-99999|-122.143:37.690|"Alameda County, California, Western Part"|HAYWARD AIR TERM
14098|745048-93210|-121.559:39.690|"Butte Area, California, Parts of Butte and Plumas Counties"|OROVILLE MUNICIPAL AIRP
14240|720839-99999|-120.219:39.730|"Sierra Valley Area, California, Parts of Sierra, Plumas, and Lassen Counties"|RENO / STEAD AIRPORT
14179|724837-93216|-121.323:39.290|"Yuba County, California"|BEALE AIR FORCE BASE
14099|749486-99999|-121.048:39.210|"Nevada County Area, California"|NEVADA CO AIR PARK
14100|720267-99999|-121.082:39.010|"Placer County, California, Western Part"|AUBURN MUNICIPAL
14101|720645-99999|-120.807:38.770|"El Dorado Area, California"|PLACERVILLE
14102|720681-99999|-120.697:38.410|"Amador Area, California"|CALAVERAS CO MAURY RASM
14103|720681-99999|-120.577:38.050|"Central Sierra Foothills Area, California, Parts of Calaveras and Tuolumne Counties"|CALAVERAS CO MAURY RASM
17969|720681-99999|-120.790:37.930|"Stanislaus County, California, Northern Part"|CALAVERAS CO MAURY RASM
14105|745096-99999|-122.331:37.330|"San Mateo Area, California"|PIGEON POINT COAST GUAR
14106|745056-99999|-116.838:33.010|"San Diego County Area, California"|RAMONA
14107|999999-23293|-121.949:37.250|"Santa Clara Area, California, Western Part"|SAN JOSE MUNICIPAL AP
14108|724925-23240|-121.225:37.410|"Stanislaus County, California, Western Part"|CROWS LANDING
14109|724926-23258|-120.815:37.610|"Eastern Stanislaus Area, California"|MDSTO CTY-CO H SHAM FD
14110|725910-24216|-122.204:40.130|"Tehama County, California"|RED BLUFF MUNICIPAL ARP
14111|749484-395|-121.537:37.170|"Eastern Santa Clara Area, California"|SOUTH COUNTY AIRPORT OF
14112|999999-93243|-120.894:37.050|"Merced County, California, Western Part"|MERCED 23 WSW
14113|724810-99999|-120.524:37.330|"Merced Area, California"|CASTLE
14114|999999-53150|-120.059:37.490|"Mariposa County Area, California"|YOSEMITE VILLAGE 12 W
14115|745046-93242|-120.033:37.090|"Madera Area, California"|MADERA MUNICIPAL AIRPOR
14116|747020-23110|-120.422:36.490|"Fresno County, California, Western Part"|NAVAL AIR STATION
14117|723890-93193|-119.679:36.770|"Eastern Fresno Area, California"|FRESNO YOSEMITE INTERNA
14119|723896-93144|-119.313:36.170|"Tulare County, Western Part, California"|VISALIA MUNICIPAL AIRPO
14120|749174-99999|-118.966:36.210|"Tulare County, California, Central Part"|PORTERVILLE CALIFORNIA
14121|746190-99999|-117.567:36.370|"Inyo County Area, California"|SUPERIOR VALLEY GUNNERY
14122|749178-99999|-120.760:35.330|"San Luis Obispo County, California, Coastal Part"|MORRO BAY
14123|723965-93209|-120.704:35.530|"San Luis Obispo County, California, Paso Robles Area"|PASO ROBLES MUNICIPAL A
14124|723840-23155|-119.518:35.530|"Kern County, California, Northwestern Part"|MEADOWS FIELD AIRPORT
14125|749170-99999|-119.914:35.290|"San Luis Obispo County, California, Carrizo Plain Area"|GARDNER AAF
14126|723840-23155|-118.523:35.650|"Kern County, Northeastern Part, and Southeastern Part of Tulare County, California"|MEADOWS FIELD AIRPORT
14127|723810-23114|-117.833:34.890|"Edwards Air Force Base, California, Parts of Kern, Los Angeles, and San Bernardino Counties"|EDWARDS AIR FORCE BASE
14128|999999-3129|-118.240:35.090|"Kern County, California, Southeastern Part"|MOJAVE MCAS
14129|722889-99999|-117.111:34.690|"San Bernardino County, California, Mojave River Area"|APPLE VALLEY
14130|723762-93244|-120.053:34.810|"Northern Santa Barbara Area, California"|SANTA YNEZ AIRPORT
14131|722935-99999|-120.045:34.490|"Santa Barbara County, California, South Coastal Part"|EL CAPITAN BEACH
14132|723920-99999|-119.055:34.290|"Ventura Area, California"|SANTA PAULA
14133|723816-3159|-118.282:34.650|"Antelope Valley Area, California"|GENERAL WILLIAM J. FOX
14134|722886-99999|-118.506:34.250|"Los Angeles County, California, West San Fernando Valley Area"|VAN NUYS
14135|999999-23122|-117.358:34.050|"San Bernardino County Southwestern Part, California"|NORTON AAF
14136|722974-93101|-117.706:33.650|"Orange County and Part of Riverside County, California"|EL TORO MARINE CORPS AI
14137|999999-23156|-117.046:33.730|"Western Riverside Area, California"|BEAUMONT 1 E
14138|999999-23172|-116.198:33.730|"Riverside County, Coachella Valley Area, California"|INDIO COACHELLA
14139|747188-23158|-114.637:33.570|"Palo Verde Area, California"|BLYTHE AIRPORT
18378|746120-93104|-117.695:35.490|"Mojave Desert Area, Northwest Part, California"|CHINA LAKE
14140|747185-99999|-115.512:33.010|"Imperial County, California, Imperial Valley Area"|IMPERIAL CO
14241|999999-24249|-121.686:41.850|"Butte Valley-Tule Lake Area, California, Parts of Siskiyou and Modoc Counties"|KLAMATH FALLS NAS
14243|999999-4139|-119.816:41.370|"Surprise Valley-Home Camp Area, California and Nevada"|DENIO 52 WSW
14141|720652-433|-119.349:38.450|"Coleville-Bridgeport Area, Parts of Alpine and Mono Counties, California"|BRIDGEPORT SONORA JUNCT
14142|999999-23275|-123.223:39.530|"Mendocino County, Eastern Part and Southwestern Part of Trinity County, California"|UKIAH MUNICIPAL AP
14143|999999-93116|-119.378:33.450|"Channel Islands Area, California, Parts of Santa Barbara and Los Angeles Counties"|SAN NICHOLAS ISLAND
14144|999999-23234|-122.306:37.650|"San Mateo County, Eastern Part, and San Francisco County, California"|SAN FRANCISCO INTL AP
14146|749170-99999|-119.254:35.050|"Kern County, California, Southwest Part"|GARDNER AAF
14201|722916-99999|-118.711:34.090|"Santa Monica Mountains National Recreation Area"|MALIBU BEACH
14148|725847-93230|-120.064:39.010|"Tahoe Basin Area, California and Nevada"|LAKE TAHOE AIRPORT
14149|725900-99999|-123.637:39.370|"Mendocino County, Western Part, California"|FORT BRAGG
