areasymbol,lkey,areaname,mlraoffice,longitude,latitude,mbrminx,mbrminy,mbrmaxx,mbrmaxy
AK645,10214,"Stikine Area, Alaska","Portland, OR",-132.828631236116,56.61415460516705,-134.659327555789,55.793402184093104,-130.997934916443,57.434907026241
AK646,10215,"Chatham Area, Alaska","Portland, OR",-134.5187199132335,57.86795327067824,-136.668555310517,56.128042842288195,-132.36888451595,59.6078636990683
AK649,10219,"Gulkana River Area, Alaska","Portland, OR",-146.1134365576965,62.7343313375712,-146.703336831776,62.5212830173161,-145.523536283617,62.947379657826296
AK650,10222,"Fort Wainwright Area, Alaska","Portland, OR",-147.410581026125,64.59012831039145,-148.652703737262,64.3328493550972,-146.16845831498802,64.8474072656857
AK651,10221,"Denali National Park and Preserve Area, Alaska","Portland, OR",-150.831209276382,63.1828474036473,-152.885039207545,62.2925215786329,-148.777379345219,64.0731732286617
AK652,10220,"Western Kenai Peninsula Area, Alaska","Portland, OR",-151.095436062322,60.318812358120844,-151.868609262263,59.598738399951294,-150.322262862381,61.038886316290395
AK653,10223,"Saint Paul Island Area, Alaska","Portland, OR",-170.2593893500665,57.178210588060296,-170.42165407585802,57.106764996711796,-170.097124624275,57.249656179408795
AK654,15608,"Western Interior Rivers Area, Alaska","Portland, OR",-158.50118364164297,61.9474016275521,-161.00002325616998,60.8947897352133,-156.00234402711598,63.0000135198909
AK655,16099,"Greater Nenana Area, Alaska","Portland, OR",-148.71072600276148,64.559981442441,-149.429486741333,64.1699920156843,-147.99196526419,64.9499708691977
AK656,18395,"Delta River Area, Alaska","Portland, OR",-145.9829053866795,63.20859631712755,-146.243296204372,62.9393467542836,-145.722514568987,63.477845879971504
AK657,18373,"Greater Delta Area, Alaska","Portland, OR",-146.0517138857135,64.18219536905059,-147.191883072446,63.76052251657829,-144.911544698981,64.60386822152289
AK658,18495,"Stewart River Training Site, Alaska","Portland, OR",-165.519592514657,64.787591011525,-165.654615916696,64.74428304895021,-165.384569112618,64.8308989740998
AK683,10245,"Fort Greely and Donnelly Training Area, Alaska","Portland, OR",-146.2344941515335,63.95993548988625,-147.050784924765,63.6743258968184,-145.418203378302,64.2455450829541
AK684,39527,"Yukon-Charley Rivers National Preserve, Alaska","Portland, OR",-142.5710870101785,65.0519892693936,-144.139826878906,64.4609961556848,-141.002347141451,65.64298238310239
AL001,12755,"Autauga County, Alabama","Auburn, AL",-86.66619151104815,32.507833351982995,-86.9212638140596,32.307564394643194,-86.41111920803671,32.708102309322804
AL003,12756,"Baldwin County, Alabama","Auburn, AL",-87.72207662552654,30.73161885093765,-88.06069481002459,30.1444315799583,-87.3834584410285,31.318806121917
AL005,12757,"Barbour County, Alabama","Auburn, AL",-85.3984997678617,31.8828920126369,-85.7482699935329,31.6176182761374,-85.0487295421905,32.1481657491364
AL007,12758,"Bibb County, Alabama","Auburn, AL",-87.14906022993095,33.03922686073845,-87.4226441339587,32.8316198822072,-86.87547632590321,33.2468338392697
AL009,12759,"Blount County, Alabama","Morgantown, WV",-86.63341305152474,34.0127403586134,-86.96342553429778,33.765153957642795,-86.3034005687517,34.260326759584
AL011,12760,"Bullock County, Alabama","Auburn, AL",-85.7046968942615,32.09283409120465,-85.9992418909733,31.8803197650794,-85.41015189754971,32.305348417329895
AL013,12761,"Butler County, Alabama","Auburn, AL",-86.67351047738089,31.744239126964104,-86.90895629340629,31.5237995695051,-86.4380646613555,31.964678684423102
AL015,14893,"Calhoun County, Alabama","Morgantown, WV",-85.8378792978445,33.762286957751755,-86.1463308362501,33.556134914823396,-85.5294277594389,33.96843900068011
AL017,11122,"Chambers County, Alabama","Raleigh, NC",-85.35811587413605,32.9189969380091,-85.5937274844236,32.7286577634206,-85.1225042638485,33.1093361125976
AL019,14894,"Cherokee County, Alabama","Morgantown, WV",-85.6213871672367,34.23395966777295,-85.8439068322855,33.9413647829645,-85.39886750218791,34.526554552581395
AL021,12762,"Chilton County, Alabama","Auburn, AL",-86.69516542555036,32.866192660768704,-87.0191066508132,32.660487710221,-86.3712242002875,33.0718976113164
AL023,12763,"Choctaw County, Alabama","Auburn, AL",-88.20069175301549,32.0040866457953,-88.4731037728196,31.6977564053896,-87.9282797332114,32.310416886201
AL025,12764,"Clarke County, Alabama","Auburn, AL",-87.8407931468536,31.58837331601355,-88.18084732557828,31.1854657593532,-87.50073896812891,31.991280872673897
AL027,11123,"Clay County, Alabama","Raleigh, NC",-85.90770926088209,33.29459305444814,-86.1742573047106,33.0902387599621,-85.6411612170536,33.498947348934195
AL029,11124,"Cleburne County, Alabama","Raleigh, NC",-85.59620671486265,33.716696521673455,-85.8878417256163,33.4692604854296,-85.304571704109,33.9641325579173
AL031,12765,"Coffee County, Alabama","Auburn, AL",-85.99267488312125,31.4006100555582,-86.1964121122861,31.1820614222718,-85.78893765395641,31.6191586888446
AL033,12766,"Colbert County, Alabama","Morgantown, WV",-87.77786295245505,34.7364119785602,-88.1399511454686,34.566175071622,-87.4157747594415,34.9066488854984
AL035,12767,"Conecuh County, Alabama","Auburn, AL",-87.0446366080736,31.467281886939652,-87.427415706193,31.181324968601103,-86.6618575099542,31.7532388052782
AL037,11125,"Coosa County, Alabama","Raleigh, NC",-86.260567876854,32.92920013741395,-86.52142796974621,32.7534898311299,-85.9997077839618,33.104910443698
AL039,12768,"Covington County, Alabama","Auburn, AL",-86.4447099749965,31.261100770700402,-86.7026073178076,30.9935553716422,-86.18681263218541,31.528646169758602
AL041,12769,"Crenshaw County, Alabama","Auburn, AL",-86.32371524957426,31.745791000149296,-86.5034203816886,31.439937113652896,-86.14401011745991,32.0516448866457
AL043,12770,"Cullman County, Alabama","Morgantown, WV",-86.80094162949024,34.08595443971299,-87.15085837154459,33.857986396276395,-86.4510248874359,34.3139224831496
AL045,12771,"Dale County, Alabama","Auburn, AL",-85.60332143018405,31.407997798360697,-85.79166226703559,31.195145422420698,-85.4149805933325,31.6208501743007
AL047,12772,"Dallas County, Alabama","Auburn, AL",-87.14003841878636,32.387984431551445,-87.47308624525829,32.0468965122425,-86.80699059231442,32.7290723508604
AL049,12773,"DeKalb County, Alabama","Morgantown, WV",-85.81588222063115,34.529968576308846,-86.118941542357,34.1994308939905,-85.5128228989053,34.8605062586272
AL051,12774,"Elmore County, Alabama","Auburn, AL",-86.1331869467081,32.5875478088868,-86.4133359027202,32.4059235669135,-85.853037990696,32.7691720508601
AL053,12775,"Escambia County, Alabama","Auburn, AL",-87.1521855858574,31.12829667437565,-87.6158734730105,30.9947603496108,-86.6884976987043,31.261832999140502
AL055,12776,"Etowah County, Alabama","Morgantown, WV",-86.0552154238033,34.021147594997956,-86.37351134865891,33.8414868174058,-85.7369194989477,34.2008083725901
AL057,12777,"Fayette County, Alabama","Auburn, AL",-87.68792320466716,33.719821799209804,-87.9521484657329,33.5196644997305,-87.4236979436014,33.919979098689105
AL059,12778,"Franklin County, Alabama","Auburn, AL",-87.8516026745918,34.4433214726524,-88.1735364234632,34.3045892161587,-87.5296689257204,34.582053729146104
AL061,12779,"Geneva County, Alabama","Auburn, AL",-85.83939545657735,31.09640992649925,-86.19341205042,30.992978209447,-85.4853788627347,31.1998416435515
AL063,12780,"Greene County, Alabama","Auburn, AL",-87.9567754809879,32.83570964652395,-88.2077638605203,32.517572497389104,-87.7057871014555,33.1538467956588
AL065,12781,"Hale County, Alabama","Auburn, AL",-87.64565479670887,32.7438655923944,-87.87046170428431,32.4807823070149,-87.42084788913341,33.0069488777739
AL067,12782,"Henry County, Alabama","Auburn, AL",-85.22970567933945,31.5412058627949,-85.4180168440674,31.3076399992344,-85.0413945146115,31.7747717263554
AL069,12886,"Houston County, Alabama","Auburn, AL",-85.35598385883264,31.1560693224029,-85.7125903801795,30.9971373274898,-84.9993773374858,31.315001317316
AL071,14895,"Jackson County, Alabama","Morgantown, WV",-85.9711933967116,34.7278194427805,-86.3591536848263,34.4645029499531,-85.5832331085969,34.9911359356079
AL073,12784,"Jefferson County, Alabama","Morgantown, WV",-86.9291901227129,33.54455686171025,-87.3416115821193,33.2460365548584,-86.51676866330651,33.843077168562104
AL075,12785,"Lamar County, Alabama","Auburn, AL",-88.1102168303886,33.791518612579594,-88.274497877154,33.524618414930394,-87.9459357836232,34.0584188102288
AL077,14896,"Lauderdale County, Alabama","Morgantown, WV",-87.70687334127459,34.86989347789955,-88.20296701205629,34.731707969362,-87.2107796704929,35.0080789864371
AL079,12786,"Lawrence County, Alabama","Morgantown, WV",-87.31840247908364,34.55203053276355,-87.5314681763161,34.299138141702,-87.1053367818512,34.8049229238251
AL081,12787,"Lee County, Alabama","Raleigh, NC",-85.3489293780104,32.578158465417204,-85.696829613523,32.409776833527104,-85.0010291424978,32.7465400973073
AL083,14897,"Limestone County, Alabama","Morgantown, WV",-87.0323450878355,34.774943210014655,-87.2811303346343,34.5508326932381,-86.7835598410367,34.9990537267912
AL085,12788,"Lowndes County, Alabama","Auburn, AL",-86.65239244346184,32.184447113375256,-86.90843277115108,31.962064595832402,-86.39635211577259,32.406829630918104
AL087,12789,"Macon County, Alabama","Auburn, AL",-85.7285183988152,32.41394572973455,-86.02337927359649,32.23195997332,-85.4336575240339,32.5959314861491
AL089,14898,"Madison County, Alabama","Morgantown, WV",-86.52293479464194,34.73392192912185,-86.7900909409986,34.475755811213105,-86.2557786482853,34.9920880470306
AL091,12790,"Marengo County, Alabama","Auburn, AL",-87.7952268948996,32.2686936874616,-88.11845829649491,31.989791395898,-87.47199549330429,32.547595979025196
AL093,12791,"Marion County, Alabama","Auburn, AL",-87.92076452966356,34.11787211307495,-88.20710158250941,33.91477092585,-87.6344274768177,34.3209733002999
AL095,12792,"Marshall County, Alabama","Morgantown, WV",-86.31976696896186,34.349612080507,-86.58192880458441,34.099250013951895,-86.0576051333393,34.5999741470621
AL097,12793,"Mobile County, Alabama","Auburn, AL",-88.17818611852415,30.65838918806625,-88.4319928343001,30.143414016528396,-87.9243794027482,31.1733643596041
AL099,12794,"Monroe County, Alabama","Auburn, AL",-87.3455293582212,31.5293160984608,-87.785130982796,31.2272735421138,-86.90592773364641,31.8313586548078
AL101,12795,"Montgomery County, Alabama","Auburn, AL",-86.2151753010738,32.23339175645295,-86.49899762205229,31.9651008747926,-85.9313529800953,32.5016826381133
AL103,12796,"Morgan County, Alabama","Morgantown, WV",-86.83010405782326,34.495572800093896,-87.11031762518992,34.3047248705371,-86.5498904904566,34.6864207296507
AL105,12797,"Perry County, Alabama","Auburn, AL",-87.2716465928685,32.591314420105704,-87.52562487394329,32.3073610240558,-87.01766831179371,32.8752678161556
AL107,12798,"Pickens County, Alabama","Auburn, AL",-88.08862102565618,33.262812302814694,-88.34062327630409,32.9914870890934,-87.83661877500829,33.534137516536
AL109,12799,"Pike County, Alabama","Auburn, AL",-85.92863554628664,31.83906723517815,-86.1994693458679,31.616439163865,-85.6578017467054,32.0616953064913
AL111,11126,"Randolph County, Alabama","Raleigh, NC",-85.4433338870863,33.3040849912231,-85.6544193732255,33.1067196103085,-85.2322484009471,33.5014503721377
AL113,12800,"Russell County, Alabama","Auburn, AL",-85.1615440163634,32.28592329384435,-85.4347553900147,32.0617553464656,-84.8883326427121,32.5100912412231
AL115,12801,"St. Clair County, Alabama","Morgantown, WV",-86.310656850577,33.69021411634565,-86.5777488853121,33.3910059901117,-86.0435648158419,33.9894222425796
AL117,12802,"Shelby County, Alabama","Morgantown, WV",-86.68387007812929,33.282439019006546,-87.02688692423229,33.018731028492,-86.34085323202629,33.5461470095211
AL119,12803,"Sumter County, Alabama","Auburn, AL",-88.1310587517334,32.6516346070908,-88.4216295026767,32.3073504380693,-87.8404880007901,32.9959187761123
AL121,14899,"Talladega County, Alabama","Morgantown, WV",-86.14909617780205,33.4012589053992,-86.50354954007591,33.103004551834196,-85.7946428155282,33.6995132589642
AL123,11127,"Tallapoosa County, Alabama","Raleigh, NC",-85.80350831691425,32.80002618874105,-86.01390271054491,32.4928365558251,-85.5931139232836,33.107215821657
AL125,12804,"Tuscaloosa County, Alabama","Auburn, AL",-87.4532280559809,33.3066354479339,-87.8407061448643,33.0033797049158,-87.06574996709749,33.609891190952
AL127,12805,"Walker County, Alabama","Morgantown, WV",-87.2949690541706,33.75926530987715,-87.63619518610649,33.5131351814125,-86.95374292223471,34.0053954383418
AL129,12806,"Washington County, Alabama","Auburn, AL",-88.17583226970899,31.4068220624861,-88.4642717488448,31.114312243211998,-87.8873927905732,31.6993318817602
AL131,12807,"Wilcox County, Alabama","Auburn, AL",-87.26161392806631,32.04821798667545,-87.66791274116311,31.827243798514104,-86.8553151149695,32.2691921748368
AL133,12808,"Winston County, Alabama","Morgantown, WV",-87.37327921794055,34.14588313363436,-87.6366525311186,33.984885417684104,-87.1099059047625,34.3068808495846
AR001,15091,"Arkansas County, Arkansas","Temple, TX",-91.38192325379885,34.2446762890911,-91.71167623298359,33.9213643323458,-91.05217027461408,34.567988245836396
AR003,15092,"Ashley County, Arkansas","Temple, TX",-91.80051817551546,33.202230572857296,-92.1436557944815,33.0061320993894,-91.45738055654941,33.398329046325195
AR005,59976,"Baxter County, Arkansas","Morgantown, WV",-92.37266465408266,36.2363794663996,-92.5952266037372,35.9740065580321,-92.15010270442811,36.4987523747671
AR007,15093,"Benton County, Arkansas","Morgantown, WV",-94.21637226417107,36.299563596433146,-94.61784997276591,36.099415518068795,-93.81489455557622,36.4997116747975
AR009,15094,"Boone County, Arkansas","Morgantown, WV",-93.0781717005908,36.306320828711904,-93.3023071964669,36.114228317556204,-92.8540362047147,36.498413339867604
AR011,15095,"Bradley County, Arkansas","Temple, TX",-92.17102818027465,33.434453706183405,-92.3825117962323,33.1611968893369,-91.959544564317,33.7077105230299
AR015,15096,"Carroll County, Arkansas","Morgantown, WV",-93.59163964531021,36.31045509260045,-93.89038892599291,36.121632482125,-93.2928903646275,36.4992777030759
AR017,15097,"Chicot County, Arkansas","Temple, TX",-91.25240112030394,33.28393056529925,-91.4604551941643,33.004275422980896,-91.04434704644359,33.563585707617605
AR021,15098,"Clay County, Arkansas","Auburn, AL",-90.43470330407436,36.349560671237555,-90.80662598789542,36.2004813736945,-90.06278062025329,36.4986399687806
AR023,84276,"Cleburne County, Arkansas","Morgantown, WV",-92.02125316931654,35.5352300466906,-92.25285012129429,35.3583221088087,-91.78965621733879,35.7121379845725
AR025,15099,"Cleveland County, Arkansas","Temple, TX",-92.214413296306,33.884288197218396,-92.4756723587403,33.7043810755856,-91.95315423387171,34.0641953188512
AR027,15100,"Columbia County, Arkansas","Temple, TX",-93.234511443504,33.2361564819813,-93.49043252013969,33.0173714064777,-92.9785903668683,33.4549415574849
AR029,15101,"Conway County, Arkansas","Morgantown, WV",-92.7602931343989,35.2672493131299,-93.0412748935334,35.0714749987443,-92.47931137526442,35.463023627515504
AR031,15102,"Craighead County, Arkansas","Auburn, AL",-90.66192458826431,35.84831947653585,-91.03710575215342,35.7001714791746,-90.2867434243752,35.9964674738971
AR033,15103,"Crawford County, Arkansas","Morgantown, WV",-94.19261826331145,35.554106250125905,-94.49315532955009,35.343470267159205,-93.8920811970728,35.764742233092605
AR035,15104,"Crittenden County, Arkansas","Auburn, AL",-90.28603084504574,35.13740928807495,-90.5065696058064,34.8330747687652,-90.06549208428508,35.441743807384704
AR037,15105,"Cross County, Arkansas","Auburn, AL",-90.77247159164315,35.29651055737865,-91.04255395287831,35.143255721087606,-90.502389230408,35.44976539366971
AR041,15106,"Desha County, Arkansas","Temple, TX",-91.21404317037954,33.81825851420545,-91.5576931335627,33.5173139099437,-90.8703932071964,34.1192031184672
AR043,15107,"Drew County, Arkansas","Temple, TX",-91.73272249106705,33.59061575429175,-92.01518248584641,33.3889564204905,-91.4502624962877,33.792275088093
AR045,15108,"Faulkner County, Arkansas","Morgantown, WV",-92.35734179771305,35.1053699401726,-92.6030440340164,34.842308607305306,-92.1116395614097,35.368431273039896
AR047,15109,"Franklin County, Arkansas","Morgantown, WV",-93.88903781571275,35.4869216439672,-94.0821111438929,35.199578278276796,-93.69596448753259,35.774265009657604
AR049,59978,"Fulton County, Arkansas","Morgantown, WV",-91.8045910600784,36.3747454542838,-92.15917459151409,36.2500912130546,-91.45000752864271,36.499399695513
AR051,15110,"Garland County, Arkansas","Morgantown, WV",-93.09936058066035,34.58140953710545,-93.40729482573471,34.3892842893752,-92.791426335586,34.773534784835704
AR053,15111,"Grant County, Arkansas","Temple, TX",-92.44314086178235,34.2777772294847,-92.67843503234259,34.0597634546007,-92.2078466912221,34.4957910043687
AR055,15113,"Greene County, Arkansas","Auburn, AL",-90.52649622394554,36.116416256805195,-90.8602768727186,35.9648666810108,-90.1927155751725,36.2679658325996
AR057,15114,"Hempstead County, Arkansas","Morgantown, WV",-93.713152968635,33.74256002663665,-93.9701606371599,33.4761989525552,-93.4561453001101,34.008921100718105
AR061,15115,"Howard County, Arkansas","Morgantown, WV",-94.0383778134912,34.051698479345745,-94.25609061354629,33.747652417983,-93.82066501343608,34.3557445407085
AR063,15116,"Independence County, Arkansas","Morgantown, WV",-91.5343378382536,35.734606050386205,-91.87111644728192,35.526330381246204,-91.19755922922529,35.942881719526206
AR065,59980,"Izard County, Arkansas","Morgantown, WV",-91.94470809863395,36.064300297711,-92.21527434397079,35.86737281855729,-91.6741418532971,36.26122777686471
AR067,15117,"Jackson County, Arkansas","Auburn, AL",-91.30853683707996,35.62218284495785,-91.58444425815371,35.3542892747185,-91.0326294160062,35.8900764151972
AR071,15118,"Johnson County, Arkansas","Morgantown, WV",-93.43726960386775,35.54767158318751,-93.71008529047769,35.326709178579605,-93.1644539172578,35.768633987795404
AR075,15119,"Lawrence County, Arkansas","Auburn, AL",-91.05250867952472,36.0694066947865,-91.35745414473841,35.8809453465997,-90.74756321431101,36.2578680429733
AR077,15120,"Lee County, Arkansas","Auburn, AL",-90.75523466314715,34.769745266773555,-91.10250867492408,34.6274966328756,-90.4079606513702,34.911993900671504
AR083,15121,"Logan County, Arkansas","Morgantown, WV",-93.71048366902416,35.2251073120853,-94.1422543256328,35.020144501528804,-93.27871301241551,35.430070122641794
AR087,15122,"Madison County, Arkansas","Morgantown, WV",-93.7044106012466,36.03355758008425,-93.96309681701429,35.7597675141703,-93.4457243854789,36.3073476459982
AR089,59977,"Marion County, Arkansas","Morgantown, WV",-92.6488973344626,36.28058639013875,-92.89077717310171,36.062723302973104,-92.4070174958235,36.4984494773044
AR093,15123,"Mississippi County, Arkansas","Auburn, AL",-89.9655458702855,35.69987238980435,-90.2890907145494,35.3988522206259,-89.64200102602159,36.0008925589828
AR095,15124,"Monroe County, Arkansas","Auburn, AL",-91.22418393067696,34.67032994632985,-91.447971436466,34.336413492447804,-91.00039642488791,35.0042464002119
AR097,15125,"Montgomery County, Arkansas","Morgantown, WV",-93.66451683314199,34.5430246657556,-93.9350279156024,34.3393773998373,-93.39400575068159,34.7466719316739
AR099,15126,"Nevada County, Arkansas","Temple, TX",-93.2940238799977,33.70067831349024,-93.4838332188077,33.440600788329995,-93.1042145411877,33.9607558386505
AR101,15127,"Newton County, Arkansas","Morgantown, WV",-93.23229313997336,35.924855595057494,-93.5261014814633,35.7246210973622,-92.93848479848342,36.12509009275279
AR103,15128,"Ouachita County, Arkansas","Temple, TX",-92.84257500066974,33.589078882627305,-93.11896616935199,33.3555896833885,-92.5661838319875,33.8225680818661
AR105,15129,"Perry County, Arkansas","Morgantown, WV",-92.9233553821768,34.9440247709161,-93.3059665815951,34.7719472608517,-92.5407441827585,35.1161022809805
AR107,15130,"Phillips County, Arkansas","Auburn, AL",-90.82942187051896,34.3822413924011,-91.11792814172242,34.1188530948889,-90.5409155993155,34.6456296899133
AR109,15131,"Pike County, Arkansas","Morgantown, WV",-93.65366969972864,34.1463133565245,-93.93714886812408,33.9425300528818,-93.3701905313332,34.350096660167196
AR111,15132,"Poinsett County, Arkansas","Auburn, AL",-90.66275605334704,35.57343453270345,-91.03912977573358,35.4385330852292,-90.2863823309605,35.7083359801777
AR113,15133,"Polk County, Arkansas","Morgantown, WV",-94.19990532623396,34.45941652513915,-94.4701759684259,34.1901576038807,-93.929634684042,34.7286754463976
AR115,15134,"Pope County, Arkansas","Morgantown, WV",-93.05434901944855,35.42317645635565,-93.2988733419038,35.1175161182026,-92.80982469699329,35.7288367945087
AR119,15135,"Pulaski County, Arkansas","Temple, TX",-92.39253758311685,34.752054849119205,-92.75547598282249,34.4895829349014,-92.0295991834112,35.014526763337
AR121,15136,"Randolph County, Arkansas","Morgantown, WV",-91.07796036683351,36.30681067300385,-91.4071981165011,36.114968468594,-90.74872261716591,36.498652877413704
AR123,15137,"St. Francis County, Arkansas","Auburn, AL",-90.7765642817746,35.008131257068754,-91.1525295546501,34.8670950493647,-90.40059900889909,35.1491674647728
AR125,15138,"Saline County, Arkansas","Morgantown, WV",-92.65952452159854,34.63509121770845,-93.0750004754638,34.411238190332696,-92.24404856773329,34.8589442450842
AR127,15139,"Scott County, Arkansas","Morgantown, WV",-94.07952203347224,34.88287938865665,-94.4542667267237,34.6659151174831,-93.7047773402208,35.0998436598302
AR129,15140,"Searcy County, Arkansas","Morgantown, WV",-92.68148113278605,35.91684806002385,-92.9513763129431,35.7183765370395,-92.411585952629,36.1153195830082
AR131,15141,"Sebastian County, Arkansas","Morgantown, WV",-94.23827414322409,35.19095303549675,-94.44744280703529,34.9308384528496,-94.0291054794129,35.451067618143895
AR133,15142,"Sevier County, Arkansas","Morgantown, WV",-94.21785736162195,33.97175576167485,-94.4774381194707,33.7509372807815,-93.95827660377321,34.1925742425682
AR135,15143,"Sharp County, Arkansas","Morgantown, WV",-91.48458194286025,36.1941563355255,-91.7107390792091,35.8906681674005,-91.2584248065114,36.4976445036505
AR137,15144,"Stone County, Arkansas","Morgantown, WV",-92.12725129637406,35.919014290484796,-92.41842436069722,35.704995817549,-91.83607823205091,36.1330327634206
AR139,15145,"Union County, Arkansas","Temple, TX",-92.52884971224086,33.19797198617305,-92.98878676678741,33.0080797667876,-92.0689126576943,33.3878642055585
AR141,84278,"Van Buren County, Arkansas","Morgantown, WV",-92.54587555449714,35.57724900193505,-92.85094480066358,35.363662243001706,-92.2408063083307,35.7908357608684
AR143,15146,"Washington County, Arkansas","Morgantown, WV",-94.22001177601086,35.9932566961852,-94.5523091853508,35.750399033486794,-93.88771436667092,36.2361143588836
AR145,15147,"White County, Arkansas","Morgantown, WV",-91.73258948760184,35.2774892009219,-92.11976681078691,35.0206468385068,-91.34541216441679,35.534331563337
AR147,16403,"Woodruff County, Arkansas","Auburn, AL",-91.2593720106276,35.1791101678333,-91.47901293193371,34.912363448601106,-91.03973108932149,35.4458568870655
AR149,15150,"Yell County, Arkansas","Morgantown, WV",-93.3028314199905,35.03073756954405,-93.70978115241999,34.7436212687791,-92.895881687561,35.317853870309
AR620,15152,"Calhoun and Dallas Counties, Arkansas","Temple, TX",-92.63595609525764,33.7126358000409,-92.96089821094058,33.2695762563243,-92.3110139795747,34.1556953437575
AR630,15153,"Clark and Hot Spring Counties, Arkansas","Morgantown, WV",-93.08530281464846,34.1379889837968,-93.50186743930641,33.7698742241454,-92.6687381899905,34.5061037434482
AR660,15156,"Jefferson and Lincoln Counties, Arkansas","Temple, TX",-91.8275333602853,34.1381193175976,-92.2335565765011,33.7834270952867,-91.4215101440695,34.4928115399085
AR670,15157,"Lafayette, Little River, and Miller Counties, Arkansas","Temple, TX",-93.92761827956386,33.4819801278097,-94.48969952540631,33.0185812309949,-93.36553703372141,33.9453790246245
AR680,15158,"Lonoke and Prairie Counties, Arkansas","Temple, TX",-91.73255493490535,34.7856220491051,-92.12125023778842,34.4797588007577,-91.3438596320223,35.0914852974525
AS630,14212,"American Samoa, Islands of Aunuu, Ofu, Olosega, Tau, and Tutuila","Davis, CA",-170.13268733101552,-14.264608469057901,-170.846798959776,-14.373855574181,-169.418575702255,-14.155361363934801
AZ623,10250,"Shivwits Area, Arizona, Part of Mohave County","Phoenix, AZ",-113.6079279424305,36.5454267367176,-114.050770265606,36.090751238314,-113.16508561925501,37.000102235121204
AZ625,10251,"Mohave County Area, Arizona, Northeastern Part, and Part of Coconino County","Phoenix, AZ",-112.92945439084798,36.648285139495144,-113.35466778078998,36.2959545554264,-112.50424100090599,37.0006157235639
AZ627,14188,"Mohave County, Arizona, Southern Part","Phoenix, AZ",-113.989687709354,34.68317302282885,-114.646500095336,34.2096529993444,-113.33287532337201,35.1566930463133
AZ629,10252,"Coconino County Area, Arizona, North Kaibab Part","Phoenix, AZ",-112.030108546115,36.75347775285625,-112.638684903282,36.5055897542897,-111.421532188948,37.001365751422796
AZ631,10253,"Coconino County Area, Arizona, Central Part","Phoenix, AZ",-112.0263967973345,35.39407509011815,-113.302097681473,34.6370573830237,-110.750695913196,36.1510927972126
AZ633,10254,"Navajo County Area, Arizona, Central Part","Phoenix, AZ",-110.29673975592,34.7358279272804,-110.750703333452,34.3011222472187,-109.84277617838801,35.1705336073421
AZ635,19497,"Apache County, Arizona, Central Part","Phoenix, AZ",-109.455325157462,34.51989242549815,-109.865324627214,33.7815439351439,-109.04532568771,35.2582409158524
AZ637,10256,"Yavapai County, Arizona, Western Part","Phoenix, AZ",-112.65957188126049,34.70640101671525,-113.33390051386999,33.8822614068583,-111.985243248651,35.530540626572204
