"areasymbol"|"lkey"|"areaname"|"mlraoffice"|"areaacres"|"mbrminx"|"mbrminy"|"mbrmaxx"|"mbrmaxy"
"AK683"|10245|"Fort Greely and Donnelly Training Area, Alaska"|"Portland, OR"|645927|-147.050784924765|63.6743258968184|-145.418203378302|64.2455450829541
"AK684"|39527|"Yukon-Charley Rivers National Preserve, Alaska"|"Portland, OR"|2520794|-144.139826878906|64.4609961556848|-141.002347141451|65.6429823831024
"AL001"|12755|"Autauga County, Alabama"|"Auburn, AL"|386300|-86.9212638140596|32.3075643946432|-86.4111192080367|32.7081023093228
"AL003"|12756|"Baldwin County, Alabama"|"Auburn, AL"|1075510|-88.0606948100246|30.1444315799583|-87.3834584410285|31.318806121917
"AL005"|12757|"Barbour County, Alabama"|"Auburn, AL"|578540|-85.7482699935329|31.6176182761374|-85.0487295421905|32.1481657491364
"AL007"|12758|"Bibb County, Alabama"|"Auburn, AL"|399980|-87.4226441339587|32.8316198822072|-86.8754763259032|33.2468338392697
"AL009"|12759|"Blount County, Alabama"|"Morgantown, WV"|414930|-86.9634255342978|33.7651539576428|-86.3034005687517|34.260326759584
"AL011"|12760|"Bullock County, Alabama"|"Auburn, AL"|401060|-85.9992418909733|31.8803197650794|-85.4101518975497|32.3053484173299
"AL013"|12761|"Butler County, Alabama"|"Auburn, AL"|498650|-86.9089562934063|31.5237995695051|-86.4380646613555|31.9646786844231
"AL015"|14893|"Calhoun County, Alabama"|"Morgantown, WV"|392100|-86.1463308362501|33.5561349148234|-85.5294277594389|33.9684390006801
"AL017"|11122|"Chambers County, Alabama"|"Raleigh, NC"|386020|-85.5937274844236|32.7286577634206|-85.1225042638485|33.1093361125976
"AL019"|14894|"Cherokee County, Alabama"|"Morgantown, WV"|384150|-85.8439068322855|33.9413647829645|-85.3988675021879|34.5265545525814
"AL021"|12762|"Chilton County, Alabama"|"Auburn, AL"|448130|-87.0191066508132|32.660487710221|-86.3712242002875|33.0718976113164
"AL023"|12763|"Choctaw County, Alabama"|"Auburn, AL"|589470|-88.4731037728196|31.6977564053896|-87.9282797332114|32.310416886201
"AL025"|12764|"Clarke County, Alabama"|"Auburn, AL"|801470|-88.1808473255783|31.1854657593532|-87.5007389681289|31.9912808726739
"AL027"|11123|"Clay County, Alabama"|"Raleigh, NC"|387500|-86.1742573047106|33.0902387599621|-85.6411612170536|33.4989473489342
"AL029"|11124|"Cleburne County, Alabama"|"Raleigh, NC"|359010|-85.8878417256163|33.4692604854296|-85.304571704109|33.9641325579173
"AL031"|12765|"Coffee County, Alabama"|"Auburn, AL"|435350|-86.1964121122861|31.1820614222718|-85.7889376539564|31.6191586888446
"AL033"|12766|"Colbert County, Alabama"|"Morgantown, WV"|399170|-88.1399511454686|34.566175071622|-87.4157747594415|34.9066488854984
"AL035"|12767|"Conecuh County, Alabama"|"Auburn, AL"|546680|-87.427415706193|31.1813249686011|-86.6618575099542|31.7532388052782
"AL037"|11125|"Coosa County, Alabama"|"Raleigh, NC"|426480|-86.5214279697462|32.7534898311299|-85.9997077839618|33.104910443698
"AL039"|12768|"Covington County, Alabama"|"Auburn, AL"|668210|-86.7026073178076|30.9935553716422|-86.1868126321854|31.5286461697586
"AL041"|12769|"Crenshaw County, Alabama"|"Auburn, AL"|391030|-86.5034203816886|31.4399371136529|-86.1440101174599|32.0516448866457
"AL043"|12770|"Cullman County, Alabama"|"Morgantown, WV"|481120|-87.1508583715446|33.8579863962764|-86.4510248874359|34.3139224831496
"AL045"|12771|"Dale County, Alabama"|"Auburn, AL"|360190|-85.7916622670356|31.1951454224207|-85.4149805933325|31.6208501743007
"AL047"|12772|"Dallas County, Alabama"|"Auburn, AL"|636270|-87.4730862452583|32.0468965122425|-86.8069905923144|32.7290723508604
"AL049"|12773|"DeKalb County, Alabama"|"Morgantown, WV"|498440|-86.118941542357|34.1994308939905|-85.5128228989053|34.8605062586272
"AL051"|12774|"Elmore County, Alabama"|"Auburn, AL"|420580|-86.4133359027202|32.4059235669135|-85.853037990696|32.7691720508601
"AL053"|12775|"Escambia County, Alabama"|"Auburn, AL"|608530|-87.6158734730105|30.9947603496108|-86.6884976987043|31.2618329991405
"AL055"|12776|"Etowah County, Alabama"|"Morgantown, WV"|352510|-86.3735113486589|33.8414868174058|-85.7369194989477|34.2008083725901
"AL057"|12777|"Fayette County, Alabama"|"Auburn, AL"|403010|-87.9521484657329|33.5196644997305|-87.4236979436014|33.9199790986891
"AL059"|12778|"Franklin County, Alabama"|"Auburn, AL"|413830|-88.1735364234632|34.3045892161587|-87.5296689257204|34.5820537291461
"AL061"|12779|"Geneva County, Alabama"|"Auburn, AL"|370340|-86.19341205042|30.992978209447|-85.4853788627347|31.1998416435515
"AL063"|12780|"Greene County, Alabama"|"Auburn, AL"|422580|-88.2077638605203|32.5175724973891|-87.7057871014555|33.1538467956588
"AL065"|12781|"Hale County, Alabama"|"Auburn, AL"|423550|-87.8704617042843|32.4807823070149|-87.4208478891334|33.0069488777739
"AL067"|12782|"Henry County, Alabama"|"Auburn, AL"|363470|-85.4180168440674|31.3076399992344|-85.0413945146115|31.7747717263554
"AL069"|12886|"Houston County, Alabama"|"Auburn, AL"|372060|-85.7125903801795|30.9971373274898|-84.9993773374858|31.315001317316
"AL071"|14895|"Jackson County, Alabama"|"Morgantown, WV"|721100|-86.3591536848263|34.4645029499531|-85.5832331085969|34.9911359356079
"AL073"|12784|"Jefferson County, Alabama"|"Morgantown, WV"|719860|-87.3416115821193|33.2460365548584|-86.5167686633065|33.8430771685621
"AL075"|12785|"Lamar County, Alabama"|"Auburn, AL"|387370|-88.274497877154|33.5246184149304|-87.9459357836232|34.0584188102288
"AL077"|14896|"Lauderdale County, Alabama"|"Morgantown, WV"|460030|-88.2029670120563|34.731707969362|-87.2107796704929|35.0080789864371
"AL079"|12786|"Lawrence County, Alabama"|"Morgantown, WV"|459370|-87.5314681763161|34.299138141702|-87.1053367818512|34.8049229238251
"AL081"|12787|"Lee County, Alabama"|"Raleigh, NC"|394010|-85.696829613523|32.4097768335271|-85.0010291424978|32.7465400973073
"AL083"|14897|"Limestone County, Alabama"|"Morgantown, WV"|388700|-87.2811303346343|34.5508326932381|-86.7835598410367|34.9990537267912
"AL085"|12788|"Lowndes County, Alabama"|"Auburn, AL"|463770|-86.9084327711511|31.9620645958324|-86.3963521157726|32.4068296309181
"AL087"|12789|"Macon County, Alabama"|"Auburn, AL"|392830|-86.0233792735965|32.23195997332|-85.4336575240339|32.5959314861491
"AL089"|14898|"Madison County, Alabama"|"Morgantown, WV"|520380|-86.7900909409986|34.4757558112131|-86.2557786482853|34.9920880470306
"AL091"|12790|"Marengo County, Alabama"|"Auburn, AL"|629070|-88.1184582964949|31.989791395898|-87.4719954933043|32.5475959790252
"AL093"|12791|"Marion County, Alabama"|"Auburn, AL"|475870|-88.2071015825094|33.91477092585|-87.6344274768177|34.3209733002999
"AL095"|12792|"Marshall County, Alabama"|"Morgantown, WV"|398750|-86.5819288045844|34.0992500139519|-86.0576051333393|34.5999741470621
"AL097"|12793|"Mobile County, Alabama"|"Auburn, AL"|816680|-88.4319928343001|30.1434140165284|-87.9243794027482|31.1733643596041
"AL099"|12794|"Monroe County, Alabama"|"Auburn, AL"|659370|-87.785130982796|31.2272735421138|-86.9059277336464|31.8313586548078
"AL101"|12795|"Montgomery County, Alabama"|"Auburn, AL"|512030|-86.4989976220523|31.9651008747926|-85.9313529800953|32.5016826381133
"AL103"|12796|"Morgan County, Alabama"|"Morgantown, WV"|383460|-87.1103176251899|34.3047248705371|-86.5498904904566|34.6864207296507
"AL105"|12797|"Perry County, Alabama"|"Auburn, AL"|459830|-87.5256248739433|32.3073610240558|-87.0176683117937|32.8752678161556
"AL107"|12798|"Pickens County, Alabama"|"Auburn, AL"|569780|-88.3406232763041|32.9914870890934|-87.8366187750083|33.534137516536
"AL109"|12799|"Pike County, Alabama"|"Auburn, AL"|430280|-86.1994693458679|31.616439163865|-85.6578017467054|32.0616953064913
"AL111"|11126|"Randolph County, Alabama"|"Raleigh, NC"|374070|-85.6544193732255|33.1067196103085|-85.2322484009471|33.5014503721377
"AL113"|12800|"Russell County, Alabama"|"Auburn, AL"|413940|-85.4347553900147|32.0617553464656|-84.8883326427121|32.5100912412231
"AL115"|12801|"St. Clair County, Alabama"|"Morgantown, WV"|418020|-86.5777488853121|33.3910059901117|-86.0435648158419|33.9894222425796
"AL117"|12802|"Shelby County, Alabama"|"Morgantown, WV"|518430|-87.0268869242323|33.018731028492|-86.3408532320263|33.5461470095211
"AL119"|12803|"Sumter County, Alabama"|"Auburn, AL"|584710|-88.4216295026767|32.3073504380693|-87.8404880007901|32.9959187761123
"AL121"|14899|"Talladega County, Alabama"|"Morgantown, WV"|486460|-86.5035495400759|33.1030045518342|-85.7946428155282|33.6995132589642
"AL123"|11127|"Tallapoosa County, Alabama"|"Raleigh, NC"|490160|-86.0139027105449|32.4928365558251|-85.5931139232836|33.107215821657
"AL125"|12804|"Tuscaloosa County, Alabama"|"Auburn, AL"|865520|-87.8407061448643|33.0033797049158|-87.0657499670975|33.609891190952
"AL127"|12805|"Walker County, Alabama"|"Morgantown, WV"|517230|-87.6361951861065|33.5131351814125|-86.9537429222347|34.0053954383418
"AL129"|12806|"Washington County, Alabama"|"Auburn, AL"|696780|-88.4642717488448|31.114312243212|-87.8873927905732|31.6993318817602
"AL131"|12807|"Wilcox County, Alabama"|"Auburn, AL"|582690|-87.6679127411631|31.8272437985141|-86.8553151149695|32.2691921748368
"AL133"|12808|"Winston County, Alabama"|"Morgantown, WV"|404290|-87.6366525311186|33.9848854176841|-87.1099059047625|34.3068808495846
"AR001"|15091|"Arkansas County, Arkansas"|"Temple, TX"|661357|-91.7116762329836|33.9213643323458|-91.0521702746141|34.5679882458364
"AR003"|15092|"Ashley County, Arkansas"|"Temple, TX"|601325|-92.1436557944815|33.0061320993894|-91.4573805565494|33.3983290463252
"AR005"|59976|"Baxter County, Arkansas"|"Morgantown, WV"|375500|-92.5952266037372|35.9740065580321|-92.1501027044281|36.4987523747671
"AR007"|15093|"Benton County, Arkansas"|"Morgantown, WV"|562349|-94.6178499727659|36.0994155180688|-93.8148945555762|36.4997116747975
"AR009"|15094|"Boone County, Arkansas"|"Morgantown, WV"|385069|-93.3023071964669|36.1142283175562|-92.8540362047147|36.4984133398676
"AR011"|15095|"Bradley County, Arkansas"|"Temple, TX"|419098|-92.3825117962323|33.1611968893369|-91.959544564317|33.7077105230299
"AR015"|15096|"Carroll County, Arkansas"|"Morgantown, WV"|410599|-93.8903889259929|36.121632482125|-93.2928903646275|36.4992777030759
"AR017"|15097|"Chicot County, Arkansas"|"Temple, TX"|442118|-91.4604551941643|33.0042754229809|-91.0443470464436|33.5635857076176
"AR021"|15098|"Clay County, Arkansas"|"Auburn, AL"|410311|-90.8066259878954|36.2004813736945|-90.0627806202533|36.4986399687806
"AR023"|84276|"Cleburne County, Arkansas"|"Morgantown, WV"|378822|-92.2528501212943|35.3583221088087|-91.7896562173388|35.7121379845725
"AR025"|15099|"Cleveland County, Arkansas"|"Temple, TX"|383207|-92.4756723587403|33.7043810755856|-91.9531542338717|34.0641953188512
"AR027"|15100|"Columbia County, Arkansas"|"Temple, TX"|490944|-93.4904325201397|33.0173714064777|-92.9785903668683|33.4549415574849
"AR029"|15101|"Conway County, Arkansas"|"Morgantown, WV"|362604|-93.0412748935334|35.0714749987443|-92.4793113752644|35.4630236275155
"AR031"|15102|"Craighead County, Arkansas"|"Auburn, AL"|456800|-91.0371057521534|35.7001714791746|-90.2867434243752|35.9964674738971
"AR033"|15103|"Crawford County, Arkansas"|"Morgantown, WV"|387207|-94.4931553295501|35.3434702671592|-93.8920811970728|35.7647422330926
"AR035"|15104|"Crittenden County, Arkansas"|"Auburn, AL"|407616|-90.5065696058064|34.8330747687652|-90.0654920842851|35.4417438073847
"AR037"|15105|"Cross County, Arkansas"|"Auburn, AL"|398841|-91.0425539528783|35.1432557210876|-90.502389230408|35.4497653936697
"AR041"|15106|"Desha County, Arkansas"|"Temple, TX"|522028|-91.5576931335627|33.5173139099437|-90.8703932071964|34.1192031184672
"AR043"|15107|"Drew County, Arkansas"|"Temple, TX"|534848|-92.0151824858464|33.3889564204905|-91.4502624962877|33.792275088093
"AR045"|15108|"Faulkner County, Arkansas"|"Morgantown, WV"|425172|-92.6030440340164|34.8423086073053|-92.1116395614097|35.3684312730399
"AR047"|15109|"Franklin County, Arkansas"|"Morgantown, WV"|396371|-94.0821111438929|35.1995782782768|-93.6959644875326|35.7742650096576
"AR049"|59978|"Fulton County, Arkansas"|"Morgantown, WV"|395900|-92.1591745915141|36.2500912130546|-91.4500075286427|36.499399695513
"AR051"|15110|"Garland County, Arkansas"|"Morgantown, WV"|470023|-93.4072948257347|34.3892842893752|-92.791426335586|34.7735347848357
"AR053"|15111|"Grant County, Arkansas"|"Temple, TX"|405401|-92.6784350323426|34.0597634546007|-92.2078466912221|34.4957910043687
"AR055"|15113|"Greene County, Arkansas"|"Auburn, AL"|370829|-90.8602768727186|35.9648666810108|-90.1927155751725|36.2679658325996
"AR057"|15114|"Hempstead County, Arkansas"|"Morgantown, WV"|474080|-93.9701606371599|33.4761989525552|-93.4561453001101|34.0089211007181
"AR061"|15115|"Howard County, Arkansas"|"Morgantown, WV"|380980|-94.2560906135463|33.747652417983|-93.8206650134361|34.3557445407085
"AR063"|15116|"Independence County, Arkansas"|"Morgantown, WV"|493772|-91.8711164472819|35.5263303812462|-91.1975592292253|35.9428817195262
"AR065"|59980|"Izard County, Arkansas"|"Morgantown, WV"|374200|-92.2152743439708|35.8673728185573|-91.6741418532971|36.2612277768647
"AR067"|15117|"Jackson County, Arkansas"|"Auburn, AL"|410330|-91.5844442581537|35.3542892747185|-91.0326294160062|35.8900764151972
"AR071"|15118|"Johnson County, Arkansas"|"Morgantown, WV"|437101|-93.7100852904777|35.3267091785796|-93.1644539172578|35.7686339877954
"AR075"|15119|"Lawrence County, Arkansas"|"Auburn, AL"|378374|-91.3574541447384|35.8809453465997|-90.747563214311|36.2578680429733
"AR077"|15120|"Lee County, Arkansas"|"Auburn, AL"|399258|-91.1025086749241|34.6274966328756|-90.4079606513702|34.9119939006715
"AR083"|15121|"Logan County, Arkansas"|"Morgantown, WV"|468269|-94.1422543256328|35.0201445015288|-93.2787130124155|35.4300701226418
"AR087"|15122|"Madison County, Arkansas"|"Morgantown, WV"|535981|-93.9630968170143|35.7597675141703|-93.4457243854789|36.3073476459982
"AR089"|59977|"Marion County, Arkansas"|"Morgantown, WV"|409800|-92.8907771731017|36.0627233029731|-92.4070174958235|36.4984494773044
"AR093"|15123|"Mississippi County, Arkansas"|"Auburn, AL"|591924|-90.2890907145494|35.3988522206259|-89.6420010260216|36.0008925589828
"AR095"|15124|"Monroe County, Arkansas"|"Auburn, AL"|397452|-91.447971436466|34.3364134924478|-91.0003964248879|35.0042464002119
"AR097"|15125|"Montgomery County, Arkansas"|"Morgantown, WV"|512359|-93.9350279156024|34.3393773998373|-93.3940057506816|34.7466719316739
"AR099"|15126|"Nevada County, Arkansas"|"Temple, TX"|397216|-93.4838332188077|33.44060078833|-93.1042145411877|33.9607558386505
"AR101"|15127|"Newton County, Arkansas"|"Morgantown, WV"|526713|-93.5261014814633|35.7246210973622|-92.9384847984834|36.1250900927528
"AR103"|15128|"Ouachita County, Arkansas"|"Temple, TX"|473556|-93.118966169352|33.3555896833885|-92.5661838319875|33.8225680818661
"AR105"|15129|"Perry County, Arkansas"|"Morgantown, WV"|358841|-93.3059665815951|34.7719472608517|-92.5407441827585|35.1161022809805
"AR107"|15130|"Phillips County, Arkansas"|"Auburn, AL"|465581|-91.1179281417224|34.1188530948889|-90.5409155993155|34.6456296899133
"AR109"|15131|"Pike County, Arkansas"|"Morgantown, WV"|392755|-93.9371488681241|33.9425300528818|-93.3701905313332|34.3500966601672
"AR111"|15132|"Poinsett County, Arkansas"|"Auburn, AL"|489466|-91.0391297757336|35.4385330852292|-90.2863823309605|35.7083359801777
"AR113"|15133|"Polk County, Arkansas"|"Morgantown, WV"|551693|-94.4701759684259|34.1901576038807|-93.929634684042|34.7286754463976
"AR115"|15134|"Pope County, Arkansas"|"Morgantown, WV"|531315|-93.2988733419038|35.1175161182026|-92.8098246969933|35.7288367945087
"AR119"|15135|"Pulaski County, Arkansas"|"Temple, TX"|516557|-92.7554759828225|34.4895829349014|-92.0295991834112|35.014526763337
"AR121"|15136|"Randolph County, Arkansas"|"Morgantown, WV"|419961|-91.4071981165011|36.114968468594|-90.7487226171659|36.4986528774137
"AR123"|15137|"St. Francis County, Arkansas"|"Auburn, AL"|410983|-91.1525295546501|34.8670950493647|-90.4005990088991|35.1491674647728
"AR125"|15138|"Saline County, Arkansas"|"Morgantown, WV"|467449|-93.0750004754638|34.4112381903327|-92.2440485677333|34.8589442450842
"AR127"|15139|"Scott County, Arkansas"|"Morgantown, WV"|575027|-94.4542667267237|34.6659151174831|-93.7047773402208|35.0998436598302
"AR129"|15140|"Searcy County, Arkansas"|"Morgantown, WV"|427533|-92.9513763129431|35.7183765370395|-92.411585952629|36.1153195830082
"AR131"|15141|"Sebastian County, Arkansas"|"Morgantown, WV"|348807|-94.4474428070353|34.9308384528496|-94.0291054794129|35.4510676181439
"AR133"|15142|"Sevier County, Arkansas"|"Morgantown, WV"|372237|-94.4774381194707|33.7509372807815|-93.9582766037732|34.1925742425682
"AR135"|15143|"Sharp County, Arkansas"|"Morgantown, WV"|388429|-91.7107390792091|35.8906681674005|-91.2584248065114|36.4976445036505
"AR137"|15144|"Stone County, Arkansas"|"Morgantown, WV"|390163|-92.4184243606972|35.704995817549|-91.8360782320509|36.1330327634206
"AR139"|15145|"Union County, Arkansas"|"Temple, TX"|675693|-92.9887867667874|33.0080797667876|-92.0689126576943|33.3878642055585
"AR141"|84278|"Van Buren County, Arkansas"|"Morgantown, WV"|463443|-92.8509448006636|35.3636622430017|-92.2408063083307|35.7908357608684
"AR143"|15146|"Washington County, Arkansas"|"Morgantown, WV"|611917|-94.5523091853508|35.7503990334868|-93.8877143666709|36.2361143588836
"AR145"|15147|"White County, Arkansas"|"Morgantown, WV"|666777|-92.1197668107869|35.0206468385068|-91.3454121644168|35.534331563337
"AR147"|16403|"Woodruff County, Arkansas"|"Auburn, AL"|380103|-91.4790129319337|34.9123634486011|-91.0397310893215|35.4458568870655
"AR149"|15150|"Yell County, Arkansas"|"Morgantown, WV"|607744|-93.70978115242|34.7436212687791|-92.895881687561|35.317853870309
"AR620"|15152|"Calhoun and Dallas Counties, Arkansas"|"Temple, TX"|831757|-92.9608982109406|33.2695762563243|-92.3110139795747|34.1556953437575
"AR630"|15153|"Clark and Hot Spring Counties, Arkansas"|"Morgantown, WV"|963257|-93.5018674393064|33.7698742241454|-92.6687381899905|34.5061037434482
"AR660"|15156|"Jefferson and Lincoln Counties, Arkansas"|"Temple, TX"|951187|-92.2335565765011|33.7834270952867|-91.4215101440695|34.4928115399085
"AR670"|15157|"Lafayette, Little River, and Miller Counties, Arkansas"|"Temple, TX"|1118367|-94.4896995254063|33.0185812309949|-93.3655370337214|33.9453790246245
"AR680"|15158|"Lonoke and Prairie Counties, Arkansas"|"Temple, TX"|946765|-92.1212502377884|34.4797588007577|-91.3438596320223|35.0914852974525
"AS630"|14212|"American Samoa, Islands of Aunuu, Ofu, Olosega, Tau, and Tutuila"|"Davis, CA"|48768|-170.846798959776|-14.373855574181|-169.418575702255|-14.1553613639348
"AZ623"|10250|"Shivwits Area, Arizona, Part of Mohave County"|"Phoenix, AZ"|1547000|-114.050770265606|36.090751238314|-113.165085619255|37.0001022351212
"AZ625"|10251|"Mohave County Area, Arizona, Northeastern Part, and Part of Coconino County"|"Phoenix, AZ"|1038145|-113.35466778079|36.2959545554264|-112.504241000906|37.0006157235639
"AZ627"|14188|"Mohave County, Arizona, Southern Part"|"Phoenix, AZ"|2492300|-114.646500095336|34.2096529993444|-113.332875323372|35.1566930463133
"AZ629"|10252|"Coconino County Area, Arizona, North Kaibab Part"|"Phoenix, AZ"|697780|-112.638684903282|36.5055897542897|-111.421532188948|37.0013657514228
"AZ631"|10253|"Coconino County Area, Arizona, Central Part"|"Phoenix, AZ"|2314000|-113.302097681473|34.6370573830237|-110.750695913196|36.1510927972126
"AZ633"|10254|"Navajo County Area, Arizona, Central Part"|"Phoenix, AZ"|1504900|-110.750703333452|34.3011222472187|-109.842776178388|35.1705336073421
"AZ635"|19497|"Apache County, Arizona, Central Part"|"Phoenix, AZ"|2113800|-109.865324627214|33.7815439351439|-109.04532568771|35.2582409158524
"AZ637"|10256|"Yavapai County, Arizona, Western Part"|"Phoenix, AZ"|3774500|-113.33390051387|33.8822614068583|-111.985243248651|35.5305406265722
"AZ639"|10257|"Black Hills-Sedona Area, Arizona, Parts of Coconino and Yavapai Counties"|"Phoenix, AZ"|824500|-112.612153847509|34.2481506844026|-111.659099180386|35.1377428538031
"AZ641"|10258|"Beaver Creek Area, Arizona"|"Phoenix, AZ"|302205|-111.941276840472|34.5730044812461|-111.389302735037|34.9300562056532
"AZ643"|10259|"Long Valley Area, Arizona"|"Phoenix, AZ"|626623|-111.869921669408|34.3058586003827|-110.959187265573|34.8967832654807
"AZ645"|10260|"Aguila-Carefree Area, Arizona, Parts of Maricopa and Pinal Counties"|"Phoenix, AZ"|1629120|-113.334617468704|33.2919688114207|-111.424962601114|34.0478596883863
"AZ646"|17978|"Organ Pipe Cactus National Monument, Arizona"|"Phoenix, AZ"|330689|-113.085671430664|31.8159525344553|-112.607579774951|32.2007200120365
"AZ647"|10261|"Luke Air Force Range, Arizona, Parts of Maricopa, Pima and Yuma Counties"|"Phoenix, AZ"|1940000|-114.563642756249|32.2349846808649|-112.306071628615|32.9127755717324
"AZ648"|10262|"Cabeza Prieta Area, Arizona, Parts of Pima and Yuma Counties"|"Phoenix, AZ"|909311|-113.96187524565|31.9615782188946|-112.930803516682|32.5059603034681
"AZ649"|10263|"Yuma-Wellton Area, Parts of Yuma County, Arizona and Imperial County, California"|"Phoenix, AZ"|1017612|-114.816232974036|32.418896384234|-113.333448311912|33.6392314809451
"AZ651"|10264|"Maricopa County, Arizona, Central Part"|"Phoenix, AZ"|1076330|-113.335220798369|33.115662956667|-112.047136686295|33.7256438477784
"AZ653"|10265|"Gila Bend-Ajo Area, Arizona, Parts of Maricopa and Pima Counties"|"Phoenix, AZ"|1432320|-113.333900793223|32.2004719024349|-112.202017679687|33.291206672553
"AZ655"|10266|"Eastern Maricopa and Northern Pinal Counties Area, Arizona"|"Phoenix, AZ"|348025|-112.049017410821|33.1180436137168|-111.404453573218|33.5682040211486
"AZ656"|10267|"Colorado River Indian Reservation, Parts of La Paz County, Arizona, and Riverside and San Bernardino Counties, California"|"Phoenix, AZ"|225914|-114.550917762082|33.6365270529235|-114.211335131628|34.2812185091804
"AZ657"|10268|"Kofa Area, Arizona, Parts of La Paz and Yuma Counties"|"Phoenix, AZ"|3806931|-114.587921168004|32.6995810780891|-113.333407682912|34.3189056147151
"AZ658"|10269|"Gila River Indian Reservation, Arizona, Parts of Maricopa and Pinal Counties"|"Phoenix, AZ"|371913|-112.306195891427|32.967189607756|-111.516012868991|33.3895373364415
"AZ659"|10270|"Pinal County, Arizona, Western Part"|"Phoenix, AZ"|937020|-112.203688666885|32.5013273735499|-111.259885121605|33.1186192911006
"AZ661"|10271|"Eastern Pinal and Southern Gila Counties, Arizona"|"Phoenix, AZ"|1699900|-111.584296589129|32.5015787285336|-110.448410410672|33.3934079820725
"AZ662"|10272|"Safford Area, Arizona"|"Phoenix, AZ"|208500|-110.056361718255|32.672667501951|-109.501997739895|33.1217669367657
