areaname,lkey,station_id,solar_region_key,station_name,latitude,longitude,soil_sim,solar_sim,weather_sim_2000,weather_sim_2010,weather_sim_future,comp_sim_2000,comp_sim_2010,comp_sim_future
"Shasta County Area, California",14095,725920-24257,40.690:-122.300,REDDING MUNICIPAL AIRPO,40.686092376708984,-122.28343963623047,0.8854467,0.91776747,0.7014263868331909,0.7309365272521973,0.7302054762840271,0.8348801930745442,0.8447169065475464,0.8444732228914896
"Shasta-Trinity National Forest Area, Parts of Humboldt, Siskiyou, Shasta, Tehama, and Trinity Counties, California",14157,725920-24257,40.810:-122.540,REDDING MUNICIPAL AIRPO,40.82927703857422,-122.53523254394531,0.79940414,0.99500555,0.7014263868331909,0.7309365272521973,0.7302054762840271,0.8319453597068786,0.8417820731798806,0.841538389523824
"Glenn County, California",14078,725910-24216,39.610:-122.380,RED BLUFF MUNICIPAL ARP,39.591796875,-122.39739990234375,0.85715014,0.9815548,0.6684322357177734,0.6856433153152466,0.6856430768966675,0.8357123931248982,0.8414494196573892,0.8414493401845295
"Placer County, California, Western Part",14100,720267-23224,39.010:-121.100,AUBURN MUNICIPAL AIRPOR,39.00905990600586,-121.08240509033203,0.7423621,0.9839937,0.19597451388835907,0.7975508570671082,0.7975494861602783,0.6407767683267592,0.8413022160530089,0.8413017590840657
"Central Sierra Foothills Area, California, Parts of Calaveras and Tuolumne Counties",14103,724926-23258,38.050:-120.580,MDSTO CTY-CO H SHAM FD,38.050331115722656,-120.57747650146484,0.8689874,0.9789839,0.6266236901283264,0.64220130443573,0.6417378783226013,0.8248649835586547,0.8300575216611226,0.8299030462900796
"Stanislaus County, California, Western Part",14108,724926-23258,37.410:-121.220,MDSTO CTY-CO H SHAM FD,37.39918899536133,-121.22477722167969,0.8575336,0.9856487,0.6266236901283264,0.64220130443573,0.6417378783226013,0.8232686519622802,0.828461190064748,0.8283067146937051
"Tehama County, California",14110,725910-24216,40.130:-122.220,RED BLUFF MUNICIPAL ARP,40.121219635009766,-122.20382690429688,0.84606946,0.9461161,0.6684322357177734,0.6856433153152466,0.6856430768966675,0.8202059268951416,0.8259429534276326,0.825942873954773
"Monterey County, California",14082,725930-23233,36.370:-121.100,SALINAS MUNICIPAL AIRPO,36.352333068847656,-121.09638214111328,0.8827251,0.9725106,0.6720428466796875,0.6187883019447327,0.6187884211540222,0.8424261808395386,0.824674665927887,0.8246747056643168
"Marin County, California",14081,720406-99999,38.050:-122.700,GNOSS FIELD AIRPORT,38.06829071044922,-122.6884765625,0.9357679,0.9899698,0.64659184217453,0.5451931953430176,0.5451933741569519,0.8574431737263997,0.8236436247825623,0.823643684387207
"Santa Barbara County, California, South Coastal Part",14131,723762-93244,34.490:-120.060,SANTA YNEZ AIRPORT,34.5017204284668,-120.04547882080078,0.9264047,0.9329019,-0.010265306569635868,0.6006513237953186,0.6003745198249817,0.6163471089676021,0.8199859857559203,0.819893717765808
"Santa Monica Mountains National Recreation Area",14201,722886-23130,34.090:-118.700,VAN NUYS AIRPORT,34.10882568359375,-118.71135711669922,0.9374365,0.9260122,0.606543779373169,0.5709924697875977,0.5718480944633484,0.8233308394749959,0.8114804029464722,0.8117656111717224
"Yuba County, California",14179,724837-93216,39.290:-121.340,BEALE AIR FORCE BASE,39.278926849365234,-121.32272338867188,0.63606066,0.9760059,0.6172724962234497,0.8126908540725708,0.8126917481422424,0.7431130210558573,0.808252473672231,0.8082527716954548
"San Benito County, California",14085,725930-23233,36.610:-121.140,SALINAS MUNICIPAL AIRPO,36.59314727783203,-121.12031555175781,0.8392013,0.96606517,0.6720428466796875,0.6187883019447327,0.6187884211540222,0.8257697621981303,0.8080182472864786,0.8080182870229085
"Mariposa County Area, California",14114,724815-23257,37.490:-120.060,MRCD MUNI/MACREADY FLD,37.491329193115234,-120.05924987792969,0.8194946,0.96571743,0.5355444550514221,0.605023205280304,0.6049078702926636,0.7735854983329772,0.7967450817426045,0.7967066367467244
"Santa Cruz County, California",14087,745058-23277,37.050:-121.940,WATSONVILLE MUNICIPAL A,37.068817138671875,-121.9513931274414,0.7366196,0.9800432,0.5202540755271912,0.6638107895851135,0.6615951061248779,0.7456389466921488,0.7934911847114563,0.7927526235580444
"Los Padres National Forest Area, California",14169,723762-93244,34.930:-119.740,SANTA YNEZ AIRPORT,34.938316345214844,-119.75657653808594,0.8241149,0.9511595,-0.010265306569635868,0.6006513237953186,0.6003745198249817,0.5883363631243507,0.7919752399126688,0.7918829719225565
"Amador Area, California",14102,724833-23206,38.410:-120.700,SACRAMENTO MATHER AIRPO,38.38983917236328,-120.69743347167969,0.8895603,0.9858845,0.3100983500480652,0.4909220039844513,0.490923136472702,0.7285143733024596,0.7887889246145883,0.7887893021106719
"Santa Clara Area, California, Western Part",14107,724945-23293,37.250:-121.940,N Y. MINETA SN JO INTL,37.263675689697266,-121.94904327392578,0.5263565,0.98031646,0.7977389097213745,0.8384292721748352,0.8384096622467041,0.7681372960408528,0.7817007501920064,0.781694213549296
"San Luis Obispo County, California, Paso Robles Area",14123,723965-93209,35.530:-120.700,PASO ROBLES MUNICIPAL A,35.54080581665039,-120.7037353515625,0.83633053,0.93052745,0.526303768157959,0.5764375925064087,0.57643723487854,0.7643872499465942,0.7810985247294108,0.7810984055201212
"Pinnacles National Monument, California",20685,725930-23233,36.490:-121.180,SALINAS MUNICIPAL AIRPO,36.486228942871094,-121.17259979248047,0.74694574,0.9733807,0.6720428466796875,0.6187883019447327,0.6187884211540222,0.797456423441569,0.7797049085299174,0.7797049482663472
"San Luis Obispo County, California, Carrizo Plain Area",14125,723940-23273,35.290:-119.900,SANTA MARIA PUB/CAPT G,35.28657913208008,-119.9141845703125,0.61710787,0.9455743,0.7452219724655151,0.7642255425453186,0.7643504738807678,0.7693013747533162,0.7756358981132507,0.7756775418917338
"Northern Santa Barbara Area, California",14130,723762-93244,34.810:-120.060,SANTA YNEZ AIRPORT,34.80432891845703,-120.0533447265625,0.7815791,0.93192786,-0.010265306569635868,0.6006513237953186,0.6003745198249817,0.5677472101524471,0.7713860869407653,0.771293818950653
"Humboldt County, South Part, California",14199,725940-24213,40.250:-123.980,WOODLEY ISLAND (NEW 10/,40.231536865234375,-123.97349548339844,0.61668193,0.9770979,0.5504752993583679,0.7174151539802551,0.717413067817688,0.7147517204284668,0.7703983386357625,0.7703976432482401
"Contra Costa County, California",14077,724927-23285,37.930:-121.980,LIVERMORE MUNICIPAL ARP,37.91157531738281,-121.98794555664062,0.49874237,0.9796614,0.7676478624343872,0.7906838059425354,0.7911861538887024,0.748683879772822,0.7563625276088715,0.7565299769242604
"Curry County, Oregon",10369,725985-24267,42.490:-124.140,BROOKINGS,42.47541809082031,-124.14154815673828,0.8970095,0.63095695,0.3358672559261322,0.7365241050720215,0.736541211605072,0.6212778985500336,0.7548301815986633,0.7548358837763468
"Klamath National Forest Area, Parts of Siskiyou County, California, and Jackson County, Oregon",14154,725955-24259,41.530:-122.660,SISKIYOU COUNTY AIRPORT,41.539283752441406,-122.662109375,0.8275185,0.9798745,0.39952394366264343,0.4465189576148987,0.4466758072376251,0.7356389860312142,0.7513039906819661,0.7513562738895415
"Eastern Santa Clara Area, California",14111,724946-93232,37.170:-121.540,REID-HILLVIEW AIRPORT O,37.18888854980469,-121.53691101074219,0.8994644,0.9679754,0.37302273511886597,0.3853030800819397,0.3853034973144531,0.7468208471934,0.7509142955144246,0.750914434591929
"Jackson County Area, Oregon, Parts of Jackson and Klamath Counties",14190,725970-24225,42.410:-122.580,ROGUE VALLEY INTL-MEDFO,42.416202545166016,-122.58173370361328,0.79434335,0.8661209,0.5076059103012085,0.5228129625320435,0.5231010913848877,0.7226900458335876,0.727759063243866,0.727855106194814
"San Mateo County, Eastern Part, and San Francisco County, California",14144,724940-23234,37.650:-122.300,SAN FRANCISCO INTERNATI,37.63439178466797,-122.30557250976562,0.54302835,0.955306,0.6199891567230225,0.6648180484771729,0.6637963652610779,0.7061078349749247,0.7210507988929749,0.7207102378209431
"Colusa County, California",14076,724838-93205,39.170:-122.300,YUBA COUNTRY AIRPORT,39.169212341308594,-122.29020690917969,0.44416898,0.9793926,0.6415154337882996,0.7364251017570496,0.73671555519104,0.688359002272288,0.7199955582618713,0.7200923760732014
"Stanislaus County, California, Northern Part",17969,724926-23258,37.930:-120.780,MDSTO CTY-CO H SHAM FD,37.91899108886719,-120.78977966308594,0.52552,0.9782052,0.6266236901283264,0.64220130443573,0.6417378783226013,0.7101163069407145,0.7153088450431824,0.7151543696721394
"Siskiyou County, California, Central Part",14092,725955-24259,41.650:-122.580,SISKIYOU COUNTY AIRPORT,41.635643005371094,-122.58924102783203,0.7063177,0.98207504,0.39952394366264343,0.4465189576148987,0.4466758072376251,0.6959722340106964,0.7116372386614481,0.7116895218690236
"Merced County, California, Western Part",14112,724815-23257,37.050:-120.900,MRCD MUNI/MACREADY FLD,37.04154968261719,-120.89424133300781,0.52202845,0.97439533,0.5355444550514221,0.605023205280304,0.6049078702926636,0.677322745323181,0.7004823287328084,0.7004438837369282
"Ventura Area, California",14132,723926-23136,34.290:-119.060,CAMARILLO AIRPORT,34.29711151123047,-119.05535888671875,0.68607855,0.8949052,0.5024080872535706,0.4956400394439697,0.4956394135951996,0.6944639484087626,0.692207932472229,0.6922077238559723
"San Diego County Area, California",14106,745056-53120,33.010:-116.820,RAMONA AIRPORT,33.019832611083984,-116.83840942382812,0.6845989,0.8574004,0.4607364535331726,0.5286735892295837,0.5288257002830505,0.6675785978635151,0.6902243097623189,0.6902750134468078
"Angeles National Forest Area, California",14170,723820-23182,34.450:-118.220,PDLE PRODN FLT/TST AF P,34.44795227050781,-118.21446228027344,0.8104977,0.9243252,0.35724520683288574,0.3303276300430298,0.3300781548023224,0.6973560452461243,0.6883835196495056,0.6883003612359365
"Plumas National Forest Area, California",14160,725845-23225,39.930:-120.780,BLUE CANYON - NYACK ARP,39.91570281982422,-120.76486206054688,0.7112193,0.96580625,0.6486755609512329,0.3726953864097595,0.37237119674682617,0.7752337058385212,0.6832403143246968,0.683132251103719
"Wasco County, Oregon, Northern Part",10409,726988-24219,45.370:-121.140,MUNICIPAL AIRPORT,45.368804931640625,-121.14363861083984,0.693072,0.70678365,0.6121690273284912,0.6427851319313049,0.6429996490478516,0.6706749002138773,0.6808802684148152,0.6809517741203308
"Tulare County, California, Central Part",14120,723895-23149,36.210:-118.980,PORTERVILLE MUNICIPAL A,36.22563171386719,-118.96583557128906,0.7141395,0.85328776,0.4067501127719879,0.449628621339798,0.44963082671165466,0.6580591301123301,0.6723519663016001,0.6723527014255524
"Adams-Washington Area, Parts of Adams and Washington Counties, Idaho",10418,725864-94182,44.730:-116.700,MCCALL MUNICIPAL AIRPOR,44.70952606201172,-116.69900512695312,0.8256095,0.79847425,0.2009838968515396,0.38782668113708496,0.38808393478393555,0.608355884750684,0.6706368128458658,0.6707225640614827
"Flathead National Forest Area, Montana",11262,727790-24146,48.290:-114.060,GLACIER PARK INTERNATIO,48.29997253417969,-114.07522583007812,0.7856501,0.9342111,0.1854698657989502,0.2839427590370178,0.28394559025764465,0.6351103385289509,0.6679346362749735,0.6679355800151825
"Storey County Area, Nevada",14270,724880-23185,39.410:-119.540,RENO/TAHOE INTERNATIONA,39.4244270324707,-119.52420043945312,0.73625714,0.9606397,0.26026055216789246,0.29929110407829285,0.29941803216934204,0.652385801076889,0.6653959850470225,0.6654382944107056
"Lassen Volcanic National Park, California",14172,725920-24257,40.490:-121.420,REDDING MUNICIPAL AIRPO,40.497074127197266,-121.41215515136719,0.32823095,0.9348067,0.7014263868331909,0.7309365272521973,0.7302054762840271,0.6548213462034861,0.6646580596764882,0.6644143760204315
"Umatilla National Forest, Washington",10499,727846-24160,46.130:-117.660,WALLA WALLA REGIONAL AR,46.14661407470703,-117.65231323242188,0.8544811,0.577972,0.5715484023094177,0.5567135810852051,0.5567170977592468,0.6680004994074502,0.6630555589993794,0.66305673122406
"Malheur National Forest, Oregon",86877,726830-94185,44.250:-118.860,BURNS MUNICIPAL AIRPORT,44.26866149902344,-118.8500747680664,0.72205853,0.9399694,0.2818737328052521,0.3120066523551941,0.311605304479599,0.6479672292868296,0.6580115358034769,0.6578777531782786
"Boise County Area, Idaho, Western Part",27536,726810-24131,43.930:-116.020,BOISE AIR TERMINAL/GOWE,43.91108703613281,-116.01617431640625,0.6652125,0.8923351,0.3203456699848175,0.40079566836357117,0.401138037443161,0.6259644329547882,0.6527810990810394,0.6528952221075693
"Trout Creek - Shaniko Area, Oregon",10406,726920-24230,44.810:-120.740,ROBERTS FIELD AIRPORT,44.824371337890625,-120.75204467773438,0.804811,0.87343657,0.24259939789772034,0.26910579204559326,0.2688819468021393,0.6402823229630787,0.6491177876790364,0.6490431725978851
"Yolo County, California",14091,724828-93241,38.610:-121.980,NUT TREE AIRPORT,38.61979675292969,-121.96208190917969,0.15485495,0.97486657,0.7228021025657654,0.8066072463989258,0.8051060438156128,0.6175078749656677,0.6454429229100545,0.6449425220489502
"Tahoe National Forest Area, California",14161,725845-23225,39.370:-120.540,BLUE CANYON - NYACK ARP,39.38584518432617,-120.52970123291016,0.68076706,0.8679094,0.6486755609512329,0.3726953864097595,0.37237119674682617,0.7324506640434264,0.6404572725296019,0.6403492093086242
"San Bernardino National Forest Area, California",14171,722860-23119,33.930:-116.980,MARCH AIR RESERVE BASE,33.94832992553711,-116.99650573730469,0.6100436,0.8847271,0.2977859377861023,0.42476385831832886,0.4246571958065033,0.5975188811620076,0.6398448546727498,0.6398093005021412
"Eldorado National Forest Area, California, Parts of Alpine, Amador, El Dorado, and Placer Counties",14162,725847-93230,38.770:-120.300,LAKE TAHOE AIRPORT,38.78181457519531,-120.28666687011719,0.48377806,0.9635027,0.31467360258102417,0.4657454192638397,0.4657471477985382,0.5873181223869324,0.6376753946145375,0.6376759707927704
"Solano County, California",14088,745160-23202,38.290:-122.020,TRAVIS AIR FORCE BASE,38.286041259765625,-121.99999237060547,0.15320496,0.97332287,0.5686655044555664,0.7756159901618958,0.7756924033164978,0.5650644451379776,0.6340479403734207,0.6340734114249547
"Sacramento County, California",14084,724830-23232,38.370:-121.460,SACRAMENTO EXECUTIVE AI,38.377357482910156,-121.44287109375,0.15649131,0.9711275,0.7284734845161438,0.761557400226593,0.7610853910446167,0.6186974346637726,0.6297254065672555,0.6295680701732635
"Intermountain Area, Parts of Lassen, Modoc, Shasta, and Siskiyou Counties, California",14238,725957-24215,41.170:-121.460,MOUNT SHASTA,41.157623291015625,-121.47907257080078,0.23610562,0.99552566,0.6322622895240784,0.6573991179466248,0.6573312878608704,0.6212978561719258,0.6296767989794413,0.6296541889508565
"Morgan Area, Utah - Morgan County and Part of Weber County",14422,725755-24101,41.090:-111.580,HILL AFB AIRPORT,41.107208251953125,-111.59830474853516,0.6606339,0.8910717,0.18715690076351166,0.32660800218582153,0.32660675048828125,0.5796208331982294,0.6261045336723328,0.6261041164398193
"Sierra National Forest Area Parts of Fresno, California",14166,723890-93193,37.250:-119.380,FRESNO YOSEMITE INTERNA,37.26145935058594,-119.39311218261719,0.42620552,0.86960125,0.5901764035224915,0.577039361000061,0.5770235061645508,0.6286610563596089,0.6242820421854655,0.6242767572402954
"Sequoia National Forest Parts of Fresno, Kern and Tulare Counties, California",14167,723895-23149,36.130:-118.660,PORTERVILLE MUNICIPAL A,36.13861083984375,-118.67123413085938,0.58989435,0.8273694,0.4067501127719879,0.449628621339798,0.44963082671165466,0.6080046196778615,0.6222974558671315,0.6222981909910837
"Gilliam County, Oregon",10370,726988-24219,45.450:-120.220,MUNICIPAL AIRPORT,45.438873291015625,-120.20668029785156,0.5725325,0.62135303,0.6121690273284912,0.6427851319313049,0.6429996490478516,0.6020181775093079,0.6122235457102457,0.6122950514157612
"Douglas County Area, Nevada",15912,725847-93230,38.810:-119.620,LAKE TAHOE AIRPORT,38.82460021972656,-119.60883331298828,0.42182305,0.94254106,0.31467360258102417,0.4657454192638397,0.4657471477985382,0.559679239988327,0.6100365122159321,0.610037088394165
"Sherman County, Oregon",10374,726988-24219,45.410:-120.700,MUNICIPAL AIRPORT,45.41032409667969,-120.6943130493164,0.43376338,0.7502652,0.6121690273284912,0.6427851319313049,0.6429996490478516,0.5987325310707092,0.6089378992716471,0.6090094049771626
"Island of Maui, Hawaii",14196,911900-22516,20.810:-156.340,KAHULUI AIRPORT,20.802837371826172,-156.33827209472656,0.7767111,0.6140098,0.3766789734363556,0.4308108985424042,0.43080922961235046,0.5891332924365997,0.6071772674719492,0.6071767111619313
"Kern County, Northeastern Part, and Southeastern Part of Tulare County, California",14126,723840-23155,35.650:-118.540,MEADOWS FIELD AIRPORT,35.65606689453125,-118.52291870117188,0.5446622,0.89440155,0.4067549705505371,0.381637305021286,0.38163498044013977,0.6152728994687398,0.6069003442923228,0.6068995694319407
"Heber Valley Area, Utah - Parts of Wasatch and Utah Counties",14425,725724-24174,40.490:-111.380,PROVO MUNICIPAL AIRPORT,40.486419677734375,-111.39768981933594,0.5769332,0.95814896,0.21202175319194794,0.28152674436569214,0.2815241515636444,0.5823679715394974,0.6055363019307454,0.6055354376633961
"Modoc National Forest Area, California",14155,725958-94299,41.450:-120.900,ALTURAS MUNICIPAL AIRPO,41.45130920410156,-120.90524291992188,0.49659714,0.9936114,0.2733646333217621,0.3188822567462921,0.31897279620170593,0.587857723236084,0.603030264377594,0.6030604441960652
"Toiyabe National Forest Area, California",14327,725847-93230,38.490:-119.500,LAKE TAHOE AIRPORT,38.481773376464844,-119.50721740722656,0.4500996,0.86489856,0.31467360258102417,0.4657454192638397,0.4657471477985382,0.5432239174842834,0.5935811897118886,0.5935817658901215
"Orange County and Part of Riverside County, California",14136,722977-93184,33.650:-117.700,J. WAYNE APT-ORANGE CO,33.66693115234375,-117.70614624023438,0.6942535,0.76503885,0.3288928270339966,0.3177594840526581,0.3177556097507477,0.5960617264111836,0.5923506120840708,0.5923493206501007
"Island of Molokai, Hawaii",14193,911860-22534,21.130:-157.020,MOLOKAI AIRPORT,21.13519287109375,-157.01028442382812,0.8220247,0.56058735,0.40014010667800903,0.37986257672309875,0.38000762462615967,0.5942507187525431,0.5874915421009064,0.5875398914019266
"Klickitat County Area, Washington",10481,726988-24219,45.810:-120.740,MUNICIPAL AIRPORT,45.82533264160156,-120.73928833007812,0.5788477,0.53447366,0.6121690273284912,0.6427851319313049,0.6429996490478516,0.575163463751475,0.5853688319524128,0.5854403376579285
"Humboldt National Forest, Nevada, South Part, Parts of Lincoln, Nye and White Pine Counties",14276,724860-23154,38.890:-114.980,ELY AIRPORT/YELLAND FIE,38.887611389160156,-114.96096801757812,0.60026973,0.9334345,0.1971207857131958,0.21564741432666779,0.2156463861465454,0.5769416689872742,0.5831172118584315,0.583116869131724
"Modoc County, California, Alturas Area",14237,725958-94299,41.610:-120.620,ALTURAS MUNICIPAL AIRPO,41.589622497558594,-120.61103820800781,0.4345488,0.99314374,0.2733646333217621,0.3188822567462921,0.31897279620170593,0.5670190552870432,0.5821915964285532,0.5822217762470245
"Humboldt National Forest Area, Nevada, North Part, Parts of Elko and White Pine Counties",14262,725825-24121,41.010:-115.580,ELKO REGIONAL AIRPORT,41.00788116455078,-115.57675170898438,0.606453,0.88586086,0.24142931401729584,0.2528541386127472,0.2528539001941681,0.5779143919547399,0.5817226668198904,0.5817225873470306
"Washoe County, Nevada, North Part",14258,725958-94299,41.610:-119.660,ALTURAS MUNICIPAL AIRPO,41.61603546142578,-119.65200805664062,0.42896074,0.99582344,0.2733646333217621,0.3188822567462921,0.31897279620170593,0.5660496056079865,0.5812221467494965,0.5812523265679677
"Western Riverside Area, California",14137,722860-23119,33.730:-117.060,MARCH AIR RESERVE BASE,33.73048400878906,-117.04566955566406,0.41203892,0.9034333,0.2977859377861023,0.42476385831832886,0.4246571958065033,0.5377527276674906,0.5800787011782328,0.5800431470076243
"Carlsbad Caverns National Park, New Mexico",36527,722687-93033,32.130:-104.540,CAVERN CITY AIR TRML AR,32.12004089355469,-104.52764892578125,0.82464343,0.89554244,0.09301742911338806,0.016902286559343338,0.01689927652478218,0.6044011016686757,0.5790293874839941,0.5790283841391404
"Warm Springs Indian Reservation, Oregon",10410,726920-24230,44.850:-121.420,ROBERTS FIELD AIRPORT,44.861488342285156,-121.42457580566406,0.69108117,0.776483,0.24259939789772034,0.26910579204559326,0.2688819468021393,0.5700545211633046,0.5788899858792622,0.578815370798111
"Blaine County Area, Idaho",10429,725865-94161,43.450:-114.100,FRIEDMAN MEMORIAL AIRPO,43.46527862548828,-114.08868408203125,0.62778854,0.900022,-4.8488487664144486E-5,0.20532219111919403,0.20698119699954987,0.5092540084951906,0.5777109016974766,0.5782639036575953
"Madera Area, California",14115,745046-93242,37.090:-120.020,MADERA MUNICIPAL AIRPOR,37.09034729003906,-120.03337860107422,0.22287624,0.96657073,0.5214549899101257,0.5322769284248352,0.5322691202163696,0.5703006535768509,0.5739079664150873,0.5739053636789322
"Salt Lake Area, Utah",14301,725720-24127,40.650:-111.940,SALT LAKE CITY INTERNAT,40.668235778808594,-111.92171478271484,0.36853912,0.96628374,0.36127495765686035,0.38677549362182617,0.3875821828842163,0.5653659403324127,0.5738661189874013,0.574135015408198
"Gem County Area, Idaho",10420,726837-24162,44.090:-116.460,ONTARIO MUNICIPAL AIRPO,44.09690856933594,-116.47036743164062,0.72630376,0.6747436,0.2870674431324005,0.3186420500278473,0.3185197710990906,0.5627049307028452,0.5732297996679941,0.5731890400250752
"Surprise Valley-Home Camp Area, California and Nevada",14243,725958-94299,41.370:-119.820,ALTURAS MUNICIPAL AIRPO,41.388160705566406,-119.8159408569336,0.40277225,0.9954117,0.2733646333217621,0.3188822567462921,0.31897279620170593,0.5571828583876292,0.5723553995291392,0.5723855793476104
"Carson City Area, Nevada",15918,724880-23185,39.170:-119.740,RENO/TAHOE INTERNATIONA,39.1678352355957,-119.72596740722656,0.43794048,0.9746302,0.26026055216789246,0.29929110407829285,0.29941803216934204,0.557610402504603,0.5706205864747365,0.5706628958384196
"Tahoe Basin Area, California and Nevada",14148,725847-93230,39.010:-120.060,LAKE TAHOE AIRPORT,39.01404571533203,-120.06369018554688,0.25755,0.9719564,0.31467360258102417,0.4657454192638397,0.4657471477985382,0.5147266586621603,0.5650839308897654,0.5650845070679982
"San Joaquin County, California",14086,724920-23237,37.890:-121.260,STOCKTON METROPOLITAN A,37.8912467956543,-121.25094604492188,0.01619688,0.98812854,0.6686527729034424,0.6887537240982056,0.6879332661628723,0.5576593987643719,0.5643597158292929,0.5640862298508484
"Washoe County, Nevada, South Part",14255,724880-23185,39.570:-119.580,RENO/TAHOE INTERNATIONA,39.58265686035156,-119.58599090576172,0.4272016,0.9652471,0.26026055216789246,0.29929110407829285,0.29941803216934204,0.5509030818939209,0.5639132658640543,0.5639555752277374
"Summit Area, Utah, Parts of Summit, Salt Lake and Wasatch Counties",14423,725720-24127,40.890:-111.180,SALT LAKE CITY INTERNAT,40.88603973388672,-111.19334411621094,0.36664575,0.93425107,0.36127495765686035,0.38677549362182617,0.3875821828842163,0.5540572603543599,0.5625574390093484,0.5628263354301452
"Lake County, Oregon, Southern Part",14291,725976-94285,42.530:-120.100,LAKE COUNTY AIRPORT,42.521114349365234,-120.08992767333984,0.3965648,0.9362015,0.23442164063453674,0.3545382022857666,0.35469233989715576,0.5223959883054098,0.5624348421891531,0.5624862213929495
"Wenatchee National Forest, Naches Area, Washington, Parts of Kittitas and Yakima Counties",10495,727815-24237,46.810:-121.220,STAMPASS PASS FLTWO,46.80127716064453,-121.21013641357422,0.6475235,0.47266912,0.680547297000885,0.5543298125267029,0.5520702600479126,0.6002466479937235,0.5581741531689961,0.5574209690093994
"Inyo National Forest, Eastern Part, California and Nevada",14168,724800-23157,37.450:-118.380,BISHOP AIRPORT,37.452545166015625,-118.38369750976562,0.5629294,0.90134674,0.21920685470104218,0.20981115102767944,0.20981015264987946,0.561160996556282,0.5580290953318278,0.5580287625392277
