lkey|station_id|solar_region_key|areaname|weather_station
12801|722280-13876|33.690:-86.300|"St. Clair County, Alabama"|BIRMINGHAM INTERNATIONA
12802|722300-53864|33.290:-86.700|"Shelby County, Alabama"|SHELBY COUNTY AIRPORT
12803|722340-13865|32.650:-88.140|"Sumter County, Alabama"|KEY FIELD AIRPORT
14899|722287-13871|33.410:-86.140|"Talladega County, Alabama"|ANNISTON METROPOLITAN A
11127|720265-63833|32.810:-85.820|"Tallapoosa County, Alabama"|THOMAS C RUSSELL FLD AR
12804|722286-93806|33.290:-87.460|"Tuscaloosa County, Alabama"|TUSCALOOSA MUNICIPAL AR
12805|722280-13876|33.770:-87.300|"Walker County, Alabama"|BIRMINGHAM INTERNATIONA
12806|722230-13894|31.410:-88.180|"Washington County, Alabama"|MOBILE REGIONAL AIRPORT
12807|720362-63874|32.050:-87.260|"Wilcox County, Alabama"|MAC CRENSHAW MEMORIAL A
12808|722031-63839|34.130:-87.380|"Winston County, Alabama"|FOLSOM FIELD AP
15091|723416-13925|34.250:-91.380|"Arkansas County, Arkansas"|STUTTGART MUNICIPAL ARP
15092|720175-53919|33.210:-91.820|"Ashley County, Arkansas"|MONTCELO MUNI/ELLIS FLD
59976|723439-53918|36.250:-92.380|"Baxter County, Arkansas"|OZARK REGIONAL AIRPORT
15093|723436-53922|36.290:-94.220|"Benton County, Arkansas"|NW ARKANSAS REGIONAL AR
15094|723450-13971|36.290:-93.060|"Boone County, Arkansas"|BOONE COUNTY AIRPORT
15095|720175-53919|33.450:-92.180|"Bradley County, Arkansas"|MONTCELO MUNI/ELLIS FLD
15096|723450-13971|36.330:-93.580|"Carroll County, Arkansas"|BOONE COUNTY AIRPORT
15097|747680-13939|33.290:-91.260|"Chicot County, Arkansas"|MID DELTA REGIONAL AIRP
15098|723406-93991|36.370:-90.420|"Clay County, Arkansas"|WALNUT RIDGE REGIONAL A
84276|723448-53934|35.530:-92.020|"Cleburne County, Arkansas"|BATESVILLE REGIONAL ARP
15099|723417-93988|33.890:-92.220|"Cleveland County, Arkansas"|GRIDER FIELD AIRPORT
15100|723419-93992|33.250:-93.220|"Columbia County, Arkansas"|S. AR RGNL AT GDWIN FLD
15101|723429-53920|35.250:-92.780|"Conway County, Arkansas"|MUNICIPAL AIRPORT
15102|723406-93991|35.850:-90.660|"Craighead County, Arkansas"|WALNUT RIDGE REGIONAL A
15103|723440-13964|35.570:-94.180|"Crawford County, Arkansas"|FORT SMITH REGIONAL AIR
15104|722054-53959|35.130:-90.300|"Crittenden County, Arkansas"|WEST MEMPHIS MUNICIPAL
15105|720377-13917|35.290:-90.780|"Cross County, Arkansas"|NEWPORT MUNI
15106|747680-13939|33.810:-91.220|"Desha County, Arkansas"|MID DELTA REGIONAL AIRP
15107|720175-53919|33.610:-91.740|"Drew County, Arkansas"|MONTCELO MUNI/ELLIS FLD
15108|723403-13963|35.090:-92.340|"Faulkner County, Arkansas"|ADAMS FIELD AIRPORT
15109|723440-13964|35.490:-93.900|"Franklin County, Arkansas"|FORT SMITH REGIONAL AIR
59978|723484-53901|36.370:-91.820|"Fulton County, Arkansas"|WEST PLAINS MUNICIPAL A
15110|723435-53921|34.570:-93.100|"Garland County, Arkansas"|MOUNT IDA
15111|723417-93988|34.290:-92.460|"Grant County, Arkansas"|GRIDER FIELD AIRPORT
15113|723406-93991|36.130:-90.540|"Greene County, Arkansas"|WALNUT RIDGE REGIONAL A
15114|723418-13977|33.730:-93.700|"Hempstead County, Arkansas"|TEXARKANA REGIONAL AIRP
15115|743312-53925|34.050:-94.020|"Howard County, Arkansas"|J.L. HELMS SEVIER CO AR
15116|723448-53934|35.730:-91.540|"Independence County, Arkansas"|BATESVILLE REGIONAL ARP
59980|723448-53934|36.050:-91.940|"Izard County, Arkansas"|BATESVILLE REGIONAL ARP
15117|720377-13917|35.610:-91.300|"Jackson County, Arkansas"|NEWPORT MUNI
15118|723429-53920|35.530:-93.420|"Johnson County, Arkansas"|MUNICIPAL AIRPORT
15119|723406-93991|36.050:-91.060|"Lawrence County, Arkansas"|WALNUT RIDGE REGIONAL A
15120|722364-23903|34.770:-90.740|"Lee County, Arkansas"|TUNICA MUNICIPAL AIRPOR
15121|723429-53920|35.210:-93.700|"Logan County, Arkansas"|MUNICIPAL AIRPORT
15122|723445-93993|36.050:-93.700|"Madison County, Arkansas"|DRAKE FIELD AIRPORT
59977|723439-53918|36.290:-92.660|"Marion County, Arkansas"|OZARK REGIONAL AIRPORT
15123|723409-53869|35.690:-89.980|"Mississippi County, Arkansas"|BLYTHEVILLE MUNI AIRPOR
15124|723416-13925|34.690:-91.220|"Monroe County, Arkansas"|STUTTGART MUNICIPAL ARP
15125|723435-53921|34.530:-93.660|"Montgomery County, Arkansas"|MOUNT IDA
15126|723419-93992|33.690:-93.300|"Nevada County, Arkansas"|S. AR RGNL AT GDWIN FLD
15127|723450-13971|35.930:-93.220|"Newton County, Arkansas"|BOONE COUNTY AIRPORT
15128|723419-93992|33.570:-92.860|"Ouachita County, Arkansas"|S. AR RGNL AT GDWIN FLD
15129|723429-53920|34.930:-92.940|"Perry County, Arkansas"|MUNICIPAL AIRPORT
15130|722364-23903|34.370:-90.820|"Phillips County, Arkansas"|TUNICA MUNICIPAL AIRPOR
15131|723435-53921|34.130:-93.660|"Pike County, Arkansas"|MOUNT IDA
15132|720377-13917|35.570:-90.660|"Poinsett County, Arkansas"|NEWPORT MUNI
15133|720172-53996|34.450:-94.220|"Polk County, Arkansas"|MENA INTERMOUNTAIN MUNI
15134|723429-53920|35.410:-93.060|"Pope County, Arkansas"|MUNICIPAL AIRPORT
15135|723403-13963|34.770:-92.380|"Pulaski County, Arkansas"|ADAMS FIELD AIRPORT
15136|723406-93991|36.290:-91.060|"Randolph County, Arkansas"|WALNUT RIDGE REGIONAL A
15137|722054-53959|35.010:-90.780|"St. Francis County, Arkansas"|WEST MEMPHIS MUNICIPAL
15138|723403-13963|34.650:-92.660|"Saline County, Arkansas"|ADAMS FIELD AIRPORT
15139|720172-53996|34.890:-94.100|"Scott County, Arkansas"|MENA INTERMOUNTAIN MUNI
15140|723439-53918|35.930:-92.700|"Searcy County, Arkansas"|OZARK REGIONAL AIRPORT
15141|723440-13964|35.210:-94.220|"Sebastian County, Arkansas"|FORT SMITH REGIONAL AIR
15142|743312-53925|33.970:-94.220|"Sevier County, Arkansas"|J.L. HELMS SEVIER CO AR
15143|723406-93991|36.210:-91.500|"Sharp County, Arkansas"|WALNUT RIDGE REGIONAL A
15144|723448-53934|35.930:-92.140|"Stone County, Arkansas"|BATESVILLE REGIONAL ARP
15145|723419-93992|33.210:-92.540|"Union County, Arkansas"|S. AR RGNL AT GDWIN FLD
84278|723429-53920|35.570:-92.540|"Van Buren County, Arkansas"|MUNICIPAL AIRPORT
15146|723445-93993|36.010:-94.220|"Washington County, Arkansas"|DRAKE FIELD AIRPORT
15147|722188-53985|35.290:-91.740|"White County, Arkansas"|SEARCY MUNICIPAL AIRPOR
16403|722188-53985|35.170:-91.260|"Woodruff County, Arkansas"|SEARCY MUNICIPAL AIRPOR
15150|723429-53920|35.050:-93.300|"Yell County, Arkansas"|MUNICIPAL AIRPORT
15152|723419-93992|33.730:-92.620|"Calhoun and Dallas Counties, Arkansas"|S. AR RGNL AT GDWIN FLD
15153|723435-53921|34.130:-93.100|"Clark and Hot Spring Counties, Arkansas"|MOUNT IDA
15156|723417-93988|34.130:-91.820|"Jefferson and Lincoln Counties, Arkansas"|GRIDER FIELD AIRPORT
15157|723418-13977|33.490:-93.940|"Lafayette, Little River, and Miller Counties, Arkansas"|TEXARKANA REGIONAL AIRP
15158|723416-13925|34.770:-91.740|"Lonoke and Prairie Counties, Arkansas"|STUTTGART MUNICIPAL ARP
10250|724754-23186|36.530:-113.620|"Shivwits Area, Arizona, Part of Mohave County"|ST GEORGE MUNICIPAL ARP
10251|724754-23186|36.650:-112.940|"Mohave County Area, Arizona, Northeastern Part, and Part of Coconino County"|ST GEORGE MUNICIPAL ARP
14188|723805-23179|34.690:-113.980|"Mohave County, Arizona, Southern Part"|NEEDLES AIRPORT
10253|723760-99999|35.410:-112.020|"Coconino County Area, Arizona, Central Part"|FLAGSTAFF
10254|723740-23194|34.730:-110.300|"Navajo County Area, Arizona, Central Part"|WINSLOW-LINDBERGH REGIO
19497|723754-93027|34.530:-109.460|"Apache County, Arizona, Central Part"|ST JOHNS INDUS AIRPK AR
10256|723723-23184|34.690:-112.660|"Yavapai County, Arizona, Western Part"|ERNEST A. LOVE FIELD AR
10257|723723-23184|34.690:-112.140|"Black Hills-Sedona Area, Arizona, Parts of Coconino and Yavapai Counties"|ERNEST A. LOVE FIELD AR
10258|723760-99999|34.770:-111.660|"Beaver Creek Area, Arizona"|FLAGSTAFF
10259|723760-99999|34.610:-111.420|"Long Valley Area, Arizona"|FLAGSTAFF
10260|722785-23111|33.690:-112.380|"Aguila-Carefree Area, Arizona, Parts of Maricopa and Pinal Counties"|LUKE AFB AIRPORT
10264|722785-23111|33.410:-112.700|"Maricopa County, Arizona, Central Part"|LUKE AFB AIRPORT
10266|722786-23104|33.330:-111.740|"Eastern Maricopa and Northern Pinal Counties Area, Arizona"|WILLIAMS GATEWAY AIRPOR
10267|747188-23158|33.970:-114.380|"Colorado River Indian Reservation, Parts of La Paz County, Arizona, and Riverside and San Bernardino Counties, California"|BLYTHE AIRPORT
10268|747188-23158|33.490:-113.980|"Kofa Area, Arizona, Parts of La Paz and Yuma Counties"|BLYTHE AIRPORT
10269|722749-53128|33.170:-111.900|"Gila River Indian Reservation, Arizona, Parts of Maricopa and Pinal Counties"|CHANDLER MUNICIPAL AIRP
10270|722749-53128|32.810:-111.740|"Pinal County, Arizona, Western Part"|CHANDLER MUNICIPAL AIRP
10271|722786-23104|32.930:-111.020|"Eastern Pinal and Southern Gila Counties, Arizona"|WILLIAMS GATEWAY AIRPOR
10272|722747-93084|32.890:-109.780|"Safford Area, Arizona"|SAFFORD REGIONAL AIRPOR
10273|722747-93084|32.850:-109.660|"Gila-Duncan Area, Parts of Graham and Greenlee Counties, Arizona"|SAFFORD REGIONAL AIRPOR
10274|722747-93084|32.370:-109.460|"San Simon Area Parts of Cochise Graham and Greenlee Counties, Arizona"|SAFFORD REGIONAL AIRPOR
10275|722747-93084|32.210:-109.820|"Willcox Area, Arizona Parts of Cochise and Graham Counties"|SAFFORD REGIONAL AIRPOR
10276|722745-23109|32.170:-110.180|"Cochise County, Arizona, Northwestern Part"|DAVIS-MONTHAN AFB AIRPO
10277|722813-53146|31.610:-110.820|"Santa Cruz and Parts of Cochise and Pima Counties, Arizona"|PIONEER AIRFIELD
10278|722740-23160|32.130:-111.140|"Tucson-Avra Valley Area, Arizona"|TUCSON INTERNATIONAL AI
10279|722740-23160|31.970:-111.140|"Pima County, Arizona, Eastern Part"|TUCSON INTERNATIONAL AI
10280|722813-53146|31.610:-109.740|"Cochise County, Arizona, Douglas-Tombstone Part"|PIONEER AIRFIELD
10281|722747-93084|32.730:-110.140|"Graham County, Arizona, Southwestern Part"|SAFFORD REGIONAL AIRPOR
10282|722747-93084|33.330:-110.140|"San Carlos Indian Reservation, Arizona, Parts of Gila and Graham Counties"|SAFFORD REGIONAL AIRPOR
10284|722786-23104|33.810:-111.300|"Tonto National Forest, Arizona, Parts of Gila, Maricopa, Pinal and Yavapai Counties"|WILLIAMS GATEWAY AIRPOR
10286|723760-99999|35.210:-111.580|"Oak Creek-San Francisco Peaks Area, Arizona, Part of Coconino County"|FLAGSTAFF
10288|723700-93167|35.690:-114.060|"Mohave County, Arizona, Central Part"|KINGMAN AIRPORT
10296|723627-23081|35.690:-109.500|"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"|GALLUP MUNICIPAL AIRPOR
10298|722747-93084|32.210:-110.020|"Coronado National Forest, Arizona, Parts of Cochise, Graham, Pima and Pinal Counties"|SAFFORD REGIONAL AIRPOR
14076|724838-93205|39.170:-122.300|"Colusa County, California"|YUBA COUNTRY AIRPORT
14077|724927-23285|37.930:-121.980|"Contra Costa County, California"|LIVERMORE MUNICIPAL ARP
14078|725910-24216|39.610:-122.380|"Glenn County, California"|RED BLUFF MUNICIPAL ARP
14079|747020-23110|36.130:-119.900|"Kings County, California"|NAVAL AIR STATION
14080|725905-23275|39.130:-122.700|"Lake County, California"|UKIAH MUNICIPAL AIRPORT
14081|720406-99999|38.050:-122.700|"Marin County, California"|GNOSS FIELD AIRPORT
14082|725930-23233|36.370:-121.100|"Monterey County, California"|SALINAS MUNICIPAL AIRPO
14083|724955-93227|38.490:-122.340|"Napa County, California"|NAPA COUNTY AIRPORT
14084|724830-23232|38.370:-121.460|"Sacramento County, California"|SACRAMENTO EXECUTIVE AI
14085|725930-23233|36.610:-121.140|"San Benito County, California"|SALINAS MUNICIPAL AIRPO
14086|724920-23237|37.890:-121.260|"San Joaquin County, California"|STOCKTON METROPOLITAN A
14087|745058-23277|37.050:-121.940|"Santa Cruz County, California"|WATSONVILLE MUNICIPAL A
14088|745160-23202|38.290:-122.020|"Solano County, California"|TRAVIS AIR FORCE BASE
14089|724957-23213|38.450:-122.940|"Sonoma County, California"|SONOMA COUNTY AIRPORT
14090|724838-93205|39.010:-121.700|"Sutter County, California"|YUBA COUNTRY AIRPORT
14091|724828-93241|38.610:-121.980|"Yolo County, California"|NUT TREE AIRPORT
14198|725940-24213|40.650:-123.980|"Humboldt County, Central Part, California"|WOODLEY ISLAND (NEW 10/
14199|725940-24213|40.250:-123.980|"Humboldt County, South Part, California"|WOODLEY ISLAND (NEW 10/
14092|725955-24259|41.650:-122.580|"Siskiyou County, California, Central Part"|SISKIYOU COUNTY AIRPORT
14237|725958-94299|41.610:-120.620|"Modoc County, California, Alturas Area"|ALTURAS MUNICIPAL AIRPO
14238|725957-24215|41.170:-121.460|"Intermountain Area, Parts of Lassen, Modoc, Shasta, and Siskiyou Counties, California"|MOUNT SHASTA
14093|725945-24283|41.330:-123.900|"Humboldt and Del Norte Area, California"|ARCATA AIRPORT
14094|725920-24257|40.650:-122.980|"Trinity County, California, Weaverville Area"|REDDING MUNICIPAL AIRPO
14095|725920-24257|40.690:-122.300|"Shasta County Area, California"|REDDING MUNICIPAL AIRPO
14096|724927-23285|37.650:-121.820|"Alameda Area, California"|LIVERMORE MUNICIPAL ARP
14097|724930-23230|37.690:-122.140|"Alameda County, California, Western Part"|METRO OAKLAND INTL AIRP
14098|745048-93210|39.690:-121.540|"Butte Area, California, Parts of Butte and Plumas Counties"|OROVILLE MUNICIPAL AIRP
14240|725846-93201|39.730:-120.220|"Sierra Valley Area, California, Parts of Sierra, Plumas, and Lassen Counties"|TRUCKEE-TAHOE AIRPORT
14179|724837-93216|39.290:-121.340|"Yuba County, California"|BEALE AIR FORCE BASE
14099|720267-23224|39.210:-121.060|"Nevada County Area, California"|AUBURN MUNICIPAL AIRPOR
14100|720267-23224|39.010:-121.100|"Placer County, California, Western Part"|AUBURN MUNICIPAL AIRPOR
14101|720267-23224|38.770:-120.820|"El Dorado Area, California"|AUBURN MUNICIPAL AIRPOR
14102|724833-23206|38.410:-120.700|"Amador Area, California"|SACRAMENTO MATHER AIRPO
14103|724926-23258|38.050:-120.580|"Central Sierra Foothills Area, California, Parts of Calaveras and Tuolumne Counties"|MDSTO CTY-CO H SHAM FD
17969|724926-23258|37.930:-120.780|"Stanislaus County, California, Northern Part"|MDSTO CTY-CO H SHAM FD
14105|724938-93231|37.330:-122.340|"San Mateo Area, California"|SAN CARLOS AIRPORT
14106|745056-53120|33.010:-116.820|"San Diego County Area, California"|RAMONA AIRPORT
14107|724945-23293|37.250:-121.940|"Santa Clara Area, California, Western Part"|N Y. MINETA SN JO INTL
14108|724926-23258|37.410:-121.220|"Stanislaus County, California, Western Part"|MDSTO CTY-CO H SHAM FD
14109|724926-23258|37.610:-120.820|"Eastern Stanislaus Area, California"|MDSTO CTY-CO H SHAM FD
14110|725910-24216|40.130:-122.220|"Tehama County, California"|RED BLUFF MUNICIPAL ARP
14111|724946-93232|37.170:-121.540|"Eastern Santa Clara Area, California"|REID-HILLVIEW AIRPORT O
14112|724815-23257|37.050:-120.900|"Merced County, California, Western Part"|MRCD MUNI/MACREADY FLD
14113|724815-23257|37.330:-120.540|"Merced Area, California"|MRCD MUNI/MACREADY FLD
14114|724815-23257|37.490:-120.060|"Mariposa County Area, California"|MRCD MUNI/MACREADY FLD
14115|745046-93242|37.090:-120.020|"Madera Area, California"|MADERA MUNICIPAL AIRPOR
14116|747020-23110|36.490:-120.420|"Fresno County, California, Western Part"|NAVAL AIR STATION
14117|723890-93193|36.770:-119.660|"Eastern Fresno Area, California"|FRESNO YOSEMITE INTERNA
14119|723896-93144|36.170:-119.300|"Tulare County, Western Part, California"|VISALIA MUNICIPAL AIRPO
14120|723895-23149|36.210:-118.980|"Tulare County, California, Central Part"|PORTERVILLE MUNICIPAL A
14121|746120-93104|36.370:-117.580|"Inyo County Area, California"|CHINA LAKE
14122|722897-93206|35.330:-120.780|"San Luis Obispo County, California, Coastal Part"|SAN LUIS CO REGIONAL AR
14123|723965-93209|35.530:-120.700|"San Luis Obispo County, California, Paso Robles Area"|PASO ROBLES MUNICIPAL A
14124|723840-23155|35.530:-119.500|"Kern County, California, Northwestern Part"|MEADOWS FIELD AIRPORT
14125|723940-23273|35.290:-119.900|"San Luis Obispo County, California, Carrizo Plain Area"|SANTA MARIA PUB/CAPT G
14126|723840-23155|35.650:-118.540|"Kern County, Northeastern Part, and Southeastern Part of Tulare County, California"|MEADOWS FIELD AIRPORT
14127|723810-23114|34.890:-117.820|"Edwards Air Force Base, California, Parts of Kern, Los Angeles, and San Bernardino Counties"|EDWARDS AIR FORCE BASE
14128|723171-53144|35.090:-118.220|"Kern County, California, Southeastern Part"|NORTH AUXILIARY AIRFIEL
14129|723825-23131|34.690:-117.100|"San Bernardino County, California, Mojave River Area"|SOUTHERN CALIFORNIA LOG
14130|723762-93244|34.810:-120.060|"Northern Santa Barbara Area, California"|SANTA YNEZ AIRPORT
14131|723762-93244|34.490:-120.060|"Santa Barbara County, California, South Coastal Part"|SANTA YNEZ AIRPORT
14132|723926-23136|34.290:-119.060|"Ventura Area, California"|CAMARILLO AIRPORT
14133|723820-23182|34.650:-118.300|"Antelope Valley Area, California"|PDLE PRODN FLT/TST AF P
14134|722886-23130|34.250:-118.500|"Los Angeles County, California, West San Fernando Valley Area"|VAN NUYS AIRPORT
14135|722866-99999|34.050:-117.340|"San Bernardino County Southwestern Part, California"|SAN BERNARDINO INTL
14136|722977-93184|33.650:-117.700|"Orange County and Part of Riverside County, California"|J. WAYNE APT-ORANGE CO
14137|722860-23119|33.730:-117.060|"Western Riverside Area, California"|MARCH AIR RESERVE BASE
14138|722868-93138|33.730:-116.180|"Riverside County, Coachella Valley Area, California"|PALM SPRINGS INTL AIRPO
14139|747188-23158|33.570:-114.620|"Palo Verde Area, California"|BLYTHE AIRPORT
18378|746120-93104|35.490:-117.700|"Mojave Desert Area, Northwest Part, California"|CHINA LAKE
14140|722810-23199|33.010:-115.500|"Imperial County, California, Imperial Valley Area"|NAF
14241|725895-94236|41.850:-121.700|"Butte Valley-Tule Lake Area, California, Parts of Siskiyou and Modoc Counties"|KLAMATH FALLS AIRPORT
14243|725958-94299|41.370:-119.820|"Surprise Valley-Home Camp Area, California and Nevada"|ALTURAS MUNICIPAL AIRPO
14141|725847-93230|38.450:-119.340|"Coleville-Bridgeport Area, Parts of Alpine and Mono Counties, California"|LAKE TAHOE AIRPORT
14142|725905-23275|39.530:-123.220|"Mendocino County, Eastern Part and Southwestern Part of Trinity County, California"|UKIAH MUNICIPAL AIRPORT
14143|722910-93116|33.450:-119.380|"Channel Islands Area, California, Parts of Santa Barbara and Los Angeles Counties"|SAN NICOLAS ISLAND NAVA
14144|724940-23234|37.650:-122.300|"San Mateo County, Eastern Part, and San Francisco County, California"|SAN FRANCISCO INTERNATI
14146|723840-23155|35.050:-119.260|"Kern County, California, Southwest Part"|MEADOWS FIELD AIRPORT
14201|722886-23130|34.090:-118.700|"Santa Monica Mountains National Recreation Area"|VAN NUYS AIRPORT
14148|725847-93230|39.010:-120.060|"Tahoe Basin Area, California and Nevada"|LAKE TAHOE AIRPORT
14149|725905-23275|39.370:-123.620|"Mendocino County, Western Part, California"|UKIAH MUNICIPAL AIRPORT
14178|723815-23161|34.930:-116.100|"Mojave Desert Area, California"|BARSTOW-DAGGETT AIRPORT
14150|722874-93134|34.010:-118.100|"Los Angeles County, California, Southeastern Part"|DOWNTOWN L.A./USC CAMPU
14151|723815-23161|35.370:-116.620|"National Training Center, Fort Irwin, California"|BARSTOW-DAGGETT AIRPORT
17970|690150-93121|34.370:-116.260|"Mojave Desert Area, West Central Part, California"|TWENTY NINE PALMS
14152|690150-93121|34.450:-116.100|"Marine Corps Air Ground Combat Center at Twentynine Palms, California"|TWENTY NINE PALMS
14153|725945-24283|41.010:-123.620|"Six Rivers National Forest Area, California"|ARCATA AIRPORT
14154|725955-24259|41.530:-122.660|"Klamath National Forest Area, Parts of Siskiyou County, California, and Jackson County, Oregon"|SISKIYOU COUNTY AIRPORT
14155|725958-94299|41.450:-120.900|"Modoc National Forest Area, California"|ALTURAS MUNICIPAL AIRPO
14156|725970-24225|41.930:-123.340|"Rogue River National Forest Area, California"|ROGUE VALLEY INTL-MEDFO
